x,f1(x),f2(x)
1.95884e-05,0.499997,0.499997
1.94089e-05,0.499997,0.499997
1.92309e-05,0.499997,0.499997
1.90546e-05,0.499997,0.499997
1.88799e-05,0.499997,0.499997
1.87068e-05,0.499997,0.499997
1.85353e-05,0.499997,0.499997
1.83654e-05,0.499997,0.499997
1.8197e-05,0.499997,0.499997
1.80302e-05,0.499997,0.499997
1.78649e-05,0.499997,0.499997
1.77011e-05,0.499997,0.499997
1.75388e-05,0.499997,0.499997
1.7378e-05,0.499997,0.499997
1.72187e-05,0.499997,0.499997
1.70608e-05,0.499997,0.499997
1.69044e-05,0.499997,0.499997
1.67494e-05,0.499997,0.499997
1.65959e-05,0.499997,0.499997
1.64437e-05,0.499997,0.499997
1.6293e-05,0.499997,0.499997
1.61436e-05,0.499998,0.499998
1.59956e-05,0.499997,0.499997
1.58489e-05,0.499997,0.499997
1.57036e-05,0.499998,0.499998
1.55597e-05,0.499997,0.499997
1.5417e-05,0.499997,0.499997
1.52757e-05,0.499997,0.499997
1.51356e-05,0.499998,0.499998
1.49968e-05,0.499997,0.499997
1.48594e-05,0.499998,0.499998
1.47231e-05,0.499997,0.499997
1.45881e-05,0.499998,0.499998
1.44544e-05,0.499997,0.499997
1.43219e-05,0.499997,0.499997
1.41906e-05,0.499997,0.499997
1.40605e-05,0.499998,0.499998
1.39316e-05,0.499998,0.499998
1.38038e-05,0.499997,0.499997
1.36773e-05,0.499997,0.499997
1.35519e-05,0.499998,0.499998
1.34276e-05,0.499998,0.499998
1.33045e-05,0.499997,0.499997
1.31826e-05,0.499997,0.499997
1.30617e-05,0.499998,0.499998
1.2942e-05,0.499998,0.499998
1.28233e-05,0.499998,0.499998
1.27057e-05,0.499998,0.499998
1.25893e-05,0.499998,0.499998
1.24738e-05,0.499998,0.499998
1.23595e-05,0.499998,0.499998
1.22462e-05,0.499999,0.499999
1.21339e-05,0.499998,0.499998
1.20226e-05,0.499998,0.499998
1.19124e-05,0.499998,0.499998
1.18032e-05,0.499998,0.499998
1.1695e-05,0.499998,0.499998
1.15878e-05,0.499999,0.499999
1.14815e-05,0.499998,0.499998
1.13763e-05,0.499998,0.499998
1.1272e-05,0.499999,0.499999
1.11686e-05,0.499999,0.499999
1.10662e-05,0.499998,0.499998
1.09648e-05,0.499998,0.499998
1.08643e-05,0.499997,0.499997
1.07647e-05,0.499997,0.499997
1.0666e-05,0.499998,0.499998
1.05682e-05,0.499998,0.499998
1.04713e-05,0.499998,0.499998
1.03753e-05,0.499999,0.499999
1.02802e-05,0.499998,0.499998
1.01859e-05,0.499999,0.499999
1.00925e-05,0.499999,0.499999
1e-05,0.499998,0.499998
9.90832e-06,0.499998,0.499995
9.81748e-06,0.499998,0.499995
9.72747e-06,0.499998,0.499995
9.63829e-06,0.499998,0.499995
9.54993e-06,0.499999,0.499995
9.46237e-06,0.499999,0.499995
9.37562e-06,0.499999,0.499995
9.28966e-06,0.499999,0.499995
9.2045e-06,0.499998,0.499995
9.12011e-06,0.499999,0.499995
9.03649e-06,0.499997,0.499995
8.95365e-06,0.499998,0.499996
8.87156e-06,0.499997,0.499996
8.79023e-06,0.499999,0.499996
8.70964e-06,0.499999,0.499996
8.62979e-06,0.499998,0.499996
8.55067e-06,0.499997,0.499996
8.47227e-06,0.499997,0.499996
8.3946e-06,0.499998,0.499996
8.31764e-06,0.499998,0.499996
8.24138e-06,0.5,0.499996
8.16582e-06,0.499998,0.499996
8.09096e-06,0.499997,0.499996
8.01678e-06,0.499999,0.499996
7.94328e-06,0.5,0.499996
7.87046e-06,0.499997,0.499996
7.7983e-06,0.500001,0.499996
7.72681e-06,0.499999,0.499996
7.65597e-06,0.499998,0.499996
7.58578e-06,0.499998,0.499996
7.51623e-06,0.499998,0.499996
7.44732e-06,0.499998,0.499996
7.37904e-06,0.5,0.499996
7.31139e-06,0.499999,0.499996
7.24436e-06,0.499999,0.499996
7.17794e-06,0.499999,0.499996
7.11214e-06,0.499997,0.499996
7.04693e-06,0.500002,0.499996
6.98232e-06,0.499997,0.499997
6.91831e-06,0.5,0.499997
6.85488e-06,0.500001,0.499997
6.79204e-06,0.499998,0.499997
6.72977e-06,0.499998,0.499997
6.66807e-06,0.5,0.499997
6.60693e-06,0.500002,0.499997
6.54636e-06,0.499997,0.499997
6.48634e-06,0.499999,0.499997
6.42688e-06,0.5,0.499997
6.36796e-06,0.499998,0.499997
6.30957e-06,0.499996,0.499997
6.25173e-06,0.499997,0.499997
6.19441e-06,0.499999,0.499997
6.13762e-06,0.499999,0.499997
6.08135e-06,0.500001,0.499997
6.0256e-06,0.500001,0.499997
5.97035e-06,0.499996,0.499997
5.91562e-06,0.499996,0.499997
5.86138e-06,0.499998,0.499997
5.80764e-06,0.499998,0.499997
5.7544e-06,0.499999,0.499997
5.70164e-06,0.499999,0.499997
5.64937e-06,0.5,0.499997
5.59758e-06,0.499998,0.499997
5.54626e-06,0.500003,0.499997
5.49541e-06,0.499998,0.499997
5.44503e-06,0.499999,0.499997
5.39511e-06,0.499996,0.499997
5.34564e-06,0.499998,0.499997
5.29663e-06,0.499994,0.499997
5.24807e-06,0.500002,0.499997
5.19996e-06,0.500002,0.499997
5.15229e-06,0.499997,0.499997
5.10505e-06,0.499997,0.499997
5.05825e-06,0.499998,0.499997
5.01187e-06,0.500003,0.499997
4.96592e-06,0.499998,0.499998
4.9204e-06,0.499993,0.499998
4.87528e-06,0.500003,0.499998
4.83059e-06,0.500002,0.499998
4.7863e-06,0.500002,0.499998
4.74242e-06,0.499998,0.499998
4.69894e-06,0.500002,0.499998
4.65586e-06,0.499996,0.499998
4.61318e-06,0.499996,0.499998
4.57088e-06,0.500002,0.499998
4.52898e-06,0.499999,0.499998
4.48745e-06,0.5,0.499998
4.44631e-06,0.499996,0.499998
4.40555e-06,0.500002,0.499998
4.36516e-06,0.499998,0.499998
4.32514e-06,0.5,0.499998
4.28549e-06,0.499998,0.499998
4.2462e-06,0.499996,0.499998
4.20727e-06,0.499996,0.499998
4.16869e-06,0.500003,0.499998
4.13048e-06,0.499993,0.499998
4.09261e-06,0.499995,0.499998
4.05509e-06,0.500001,0.499998
4.01791e-06,0.499998,0.499998
