x,rho,p,u
0.005,-7.45241e+41,-4.44882e+123,4.15389e+41
0.015,6.53448e+40,-2.52456e+124,-1.10413e+42
0.025,-3.91109e+41,-5.00208e+122,1.92097e+41
0.035,2.71595e+41,5.269e+122,1.5792e+41
0.045,6.00854e+41,-8.00879e+123,2.49602e+41
0.055,1.83139e+42,-1.81646e+125,1.62766e+41
0.065,-2.9727e+42,-2.36377e+125,1.04636e+41
0.075,6.00948e+41,1.94777e+124,-3.04702e+41
0.085,8.91388e+42,-3.18825e+124,1.64147e+41
0.095,1.35536e+42,1.33744e+125,2.64243e+41
0.105,-3.46497e+42,1.34822e+125,1.2373e+41
0.115,6.75186e+42,-4.12387e+126,1.85444e+42
0.125,-8.94044e+42,-8.74176e+125,1.13823e+42
0.135,-1.28469e+43,1.87095e+126,1.2729e+42
0.145,5.84951e+42,-8.14944e+124,1.45594e+42
0.155,1.49173e+42,5.66178e+125,1.86655e+42
0.165,6.63113e+41,4.26005e+125,1.58947e+42
0.175,1.80933e+41,8.65948e+124,3.40736e+41
0.185,1.39365e+42,-1.83319e+124,1.20766e+42
0.195,1.69122e+43,-1.65762e+125,1.09653e+42
0.205,4.80035e+43,-5.09458e+126,1.32832e+42
0.215,5.64016e+47,-2.69443e+136,1.80016e+44
0.225,-4.86309e+45,-1.92916e+133,1.54299e+44
0.235,-5.64036e+47,2.6945e+136,1.80008e+44
0.245,-4.70781e+43,1.38443e+128,-1.58093e+41
0.255,-2.24613e+42,-1.20466e+127,3.33571e+42
0.265,1.1836e+43,-2.83501e+128,-6.13091e+42
0.275,2.60037e+43,-3.50821e+127,1.59135e+42
0.285,1.85627e+43,-1.42817e+128,9.25623e+42
0.295,6.55706e+44,-2.02876e+129,1.24723e+43
0.305,-3.47866e+43,-1.64891e+128,1.19096e+43
0.315,-6.57663e+44,2.04256e+129,1.24359e+43
0.325,4.5199e+42,-1.61756e+129,5.45311e+43
0.335,-8.51838e+42,1.44e+127,7.1181e+41
0.345,9.45375e+42,-1.00563e+127,6.80204e+42
0.355,1.88518e+44,-1.58518e+127,6.63073e+42
0.365,-1.48979e+43,-1.78786e+126,6.55996e+42
0.375,-1.0665e+44,6.80036e+128,2.84629e+42
0.385,-1.87426e+43,-1.21661e+127,1.1036e+43
0.395,-2.04999e+43,1.43471e+127,1.12811e+43
0.405,-8.33401e+43,6.07532e+126,1.1237e+43
0.415,-4.77462e+43,5.99701e+126,1.12599e+43
0.425,6.48846e+44,-1.65676e+128,1.10629e+43
0.435,-6.53026e+43,-1.30705e+127,1.10493e+43
0.445,-5.35153e+44,2.01544e+128,1.10716e+43
0.455,7.06049e+43,-1.24399e+127,1.1015e+43
0.465,2.92817e+43,-8.23392e+127,1.13618e+43
0.475,1.71808e+43,-1.00618e+128,1.13965e+43
0.485,3.2899e+42,-2.19345e+128,2.22086e+43
0.495,6.3618e+42,-3.27509e+128,2.52004e+43
0.505,4.11822e+44,-1.57324e+128,1.28732e+43
0.515,-5.77069e+43,-1.41774e+127,1.26982e+43
0.525,-4.75719e+44,1.1787e+128,1.28186e+43
0.535,-1.08619e+43,2.15364e+127,1.66718e+43
0.545,3.10046e+42,-3.82612e+127,3.9817e+42
0.555,2.22675e+42,-1.82287e+127,3.4768e+42
0.565,1.3426e+42,-6.55619e+126,1.8611e+42
0.575,2.02034e+42,2.95427e+124,4.22609e+41
0.585,2.55413e+42,8.95593e+126,5.32264e+41
0.595,2.27133e+42,1.79789e+127,1.20424e+42
0.605,1.9298e+42,2.36513e+127,2.29982e+42
0.615,1.69347e+42,2.66802e+127,3.50089e+42
0.625,1.65757e+42,3.02702e+127,4.95722e+42
0.635,1.86664e+42,3.58515e+127,6.44867e+42
0.645,2.04301e+42,3.6429e+127,6.8206e+42
0.655,1.2292e+42,1.90783e+127,5.03941e+42
0.665,7.52493e+40,-5.862e+128,-1.91512e+44
0.675,-1.30604e+41,4.07753e+127,4.64808e+43
0.685,-2.10368e+41,2.42347e+127,3.20394e+43
0.695,-9.84949e+40,3.72652e+127,5.02588e+43
0.705,1.1952e+42,1.87552e+127,1.46608e+43
0.715,3.90904e+42,2.27407e+127,1.68712e+43
0.725,6.28107e+42,1.82474e+127,1.73204e+43
0.735,7.1753e+42,1.10591e+127,1.72675e+43
0.745,5.98752e+42,4.94744e+126,1.71216e+43
0.755,4.09058e+42,1.79225e+126,1.68969e+43
0.765,2.7356e+42,4.83177e+125,1.65377e+43
0.775,1.37282e+42,1.59549e+125,1.63056e+43
0.785,5.06281e+41,1.20145e+125,1.60965e+43
0.795,1.29851e+41,-8.38407e+124,1.61336e+43
0.805,6.73464e+38,-3.70249e+114,2.7907e+38
0.815,7.80543e+38,-6.79653e+114,3.43999e+38
0.825,1.64737e+38,-2.25283e+115,9.89295e+38
0.835,6.12952e+38,-2.46698e+115,6.50199e+38
0.845,1.47421e+39,-1.77101e+115,4.78276e+38
0.855,1.65306e+39,-5.34083e+115,5.82265e+38
0.865,3.25634e+38,-7.78435e+115,1.32449e+39
0.875,8.0566e+39,-3.1531e+116,5.5013e+38
0.885,-2.53043e+39,-4.25874e+115,4.3206e+38
0.895,-9.76508e+39,3.20865e+116,4.07921e+38
0.905,2.94574e+39,-2.40794e+116,1.12452e+39
0.915,3.47417e+39,-4.48329e+116,1.35935e+39
0.925,7.50708e+38,-1.35058e+117,3.61875e+39
0.935,2.5159e+39,-1.65551e+117,2.58333e+39
0.945,6.36943e+39,-1.24432e+117,1.86957e+39
0.955,7.47926e+39,-4.88862e+117,2.30303e+39
0.965,9.73292e+40,-5.38394e+118,2.11975e+39
0.975,-2.49501e+40,-2.52324e+117,1.99069e+39
0.985,-7.05261e+39,3.87738e+119,1.05114e+40
0.995,0.125,0.1,0
1.5,0.125,0.1,0
