x,rho,p,u
0.005,3.76019e+43,3.36385e+127,1.70008e+43
0.015,-2.44959e+42,4.18677e+127,2.35143e+43
0.025,-6.08214e+42,-8.24758e+126,1.80516e+43
0.035,7.85948e+43,3.97768e+126,1.73206e+43
0.045,9.58714e+43,-1.28972e+128,1.76907e+43
0.055,1.70632e+43,1.61378e+128,1.41233e+43
0.065,1.17566e+43,-1.2654e+126,1.81306e+43
0.075,-5.15666e+41,3.16252e+125,8.99018e+41
0.085,9.67241e+42,-1.67748e+125,1.42167e+41
0.095,1.35536e+42,1.33744e+125,2.64243e+41
0.105,-2.60365e+42,2.10366e+125,3.03985e+40
0.115,1.97733e+43,-7.02615e+126,1.43936e+42
0.125,-8.94044e+42,-8.74176e+125,1.13823e+42
0.135,-2.58683e+43,5.12344e+126,1.24835e+42
0.145,4.92898e+42,-4.37822e+125,1.36119e+42
0.155,-1.68856e+41,-5.05571e+123,1.82662e+42
0.165,4.46047e+41,-5.91806e+125,-3.39376e+41
0.175,5.20154e+41,4.89692e+125,2.08222e+42
0.185,-1.01374e+43,8.14801e+125,9.55222e+41
0.195,1.82352e+43,1.14051e+125,1.13075e+42
0.205,6.06728e+43,-4.50508e+126,1.28794e+42
0.215,1.52419e+48,-7.2805e+136,1.80011e+44
0.225,-4.86309e+45,-1.92916e+133,1.54299e+44
0.235,-1.52421e+48,7.28057e+136,1.80008e+44
0.245,-3.74908e+43,2.13155e+128,-1.4627e+42
0.255,-2.24613e+42,-1.20466e+127,3.33571e+42
0.265,2.24875e+42,-1.53331e+129,-5.33457e+43
0.275,2.60037e+43,-3.50821e+127,1.59135e+42
0.285,1.85627e+43,-1.42817e+128,9.25623e+42
0.295,1.18584e+45,-3.47215e+129,1.23987e+43
0.305,-3.47866e+43,-1.64891e+128,1.19096e+43
0.315,-1.18779e+45,3.48658e+129,1.23787e+43
0.325,4.5199e+42,-1.61756e+129,5.45311e+43
0.335,-8.51838e+42,1.44e+127,7.1181e+41
0.345,9.45375e+42,-1.00563e+127,6.80204e+42
0.355,3.13572e+44,-2.04472e+127,6.6098e+42
0.365,-1.48979e+43,-1.78786e+126,6.55996e+42
0.375,3.29729e+43,-1.39476e+130,5.49046e+43
0.385,-1.87426e+43,-1.21661e+127,1.1036e+43
0.395,-2.85177e+44,2.80264e+127,1.11083e+43
0.405,-8.33401e+43,6.07532e+126,1.1237e+43
0.415,-4.77462e+43,5.99701e+126,1.12599e+43
