x,rho,p,u
0.005,1.70033e+24,-7.57512e+70,5.5738e+23
0.015,2.91493e+24,-2.04679e+71,8.52336e+23
0.025,4.91871e+24,-3.8418e+71,1.05232e+24
0.035,8.22386e+24,-6.81504e+71,1.35007e+24
0.045,8.82905e+24,-8.9599e+71,1.56472e+24
0.055,3.10266e+25,-2.44176e+72,1.57753e+24
0.065,-1.95781e+25,-1.1145e+71,1.48683e+24
0.075,-4.02093e+25,4.04849e+72,1.30338e+24
0.085,2.03636e+24,-1.70977e+72,3.46941e+24
0.095,-1.47607e+25,-9.05927e+71,2.79732e+24
0.105,-1.11185e+25,-5.77963e+72,2.63106e+24
0.115,9.26183e+24,4.52225e+70,2.44331e+24
0.125,1.33417e+25,7.92449e+72,2.34335e+24
0.135,3.0052e+24,2.47045e+72,2.73525e+24
0.145,6.23129e+21,-5.16586e+69,-1.72157e+24
0.155,1.03125e+23,-1.16281e+68,1.05841e+23
0.165,2.52579e+23,1.58352e+69,2.12061e+23
0.175,3.17935e+23,2.49851e+69,2.66186e+23
0.185,2.54816e+23,1.70392e+69,2.93237e+23
0.195,1.39131e+23,5.93467e+68,3.00843e+23
0.205,5.34088e+22,1.17125e+68,2.95352e+23
0.215,1.47278e+22,1.46765e+67,2.83782e+23
0.225,2.88835e+21,1.29441e+66,2.72051e+23
0.235,4.02447e+20,1.56521e+65,2.59319e+23
0.245,3.90057e+19,2.91249e+64,2.40346e+23
0.255,3.50912e+18,9.74776e+63,1.44095e+23
0.265,8.10404e+17,2.50234e+62,9.70792e+21
0.275,1.4704e+18,4.59175e+58,1.2627e+19
0.285,1.3583e+16,-1.10942e+57,6.40105e+20
0.295,2.67007e+18,-2.40979e+55,8.03708e+18
0.305,2.64506e+18,-2.07199e+55,7.85755e+18
0.315,5.72548e+18,-3.84594e+55,7.74764e+18
0.325,4.62434e+18,-3.94334e+55,8.74371e+18
0.335,8.91018e+18,-8.1633e+55,9.2477e+18
0.345,8.7346e+18,-6.48157e+55,8.7083e+18
0.355,1.15714e+19,-1.95666e+56,1.18819e+19
0.365,8.54379e+18,-1.95312e+56,1.38033e+19
0.375,1.23804e+19,-5.2294e+56,1.75379e+19
0.385,8.49474e+18,-5.16346e+56,2.13726e+19
0.395,1.31462e+19,-1.38984e+57,2.66272e+19
0.405,8.8919e+18,-1.37001e+57,3.32759e+19
0.415,1.6265e+19,-3.36983e+57,3.74016e+19
0.425,4.81329e+18,-8.70371e+57,1.03498e+20
0.435,-1.37695e+19,2.21671e+57,-1.81764e+19
0.445,4.88536e+19,-4.97629e+57,3.61178e+19
