x,rho,p,u
0.005,2.06322e+45,-7.23668e+130,1.92972e+43
0.015,8.68682e+44,-3.65657e+131,1.44964e+43
0.025,1.66428e+45,-4.56426e+131,2.27783e+43
0.035,-9.00966e+45,1.15668e+133,2.78902e+44
0.045,2.90304e+45,1.86795e+130,2.53921e+44
0.055,9.7063e+45,-1.47123e+132,2.55215e+44
0.065,2.09968e+46,-5.0368e+134,2.26462e+44
0.075,-1.37013e+45,-1.11382e+133,1.90328e+44
0.085,-2.19977e+46,3.97697e+134,2.44166e+44
0.095,3.02571e+45,-1.07699e+134,2.79282e+44
0.105,9.50333e+46,-1.17098e+136,9.27471e+44
0.115,-2.18827e+45,-3.52955e+134,6.82802e+44
0.125,-9.45059e+46,1.17714e+136,9.25144e+44
0.135,7.34132e+49,-5.38384e+140,9.72897e+45
0.145,-1.24933e+47,-1.98028e+137,9.56272e+45
0.155,-7.33672e+49,5.38748e+140,9.73287e+45
0.165,-1.90445e+46,5.77416e+135,3.83242e+45
0.175,-3.02334e+46,6.58569e+135,3.74072e+45
0.185,6.33142e+48,-7.37215e+137,4.43691e+45
0.195,-2.27839e+46,-1.84717e+135,4.42398e+45
0.205,-6.28894e+48,7.45549e+137,4.44238e+45
0.215,2.79281e+48,-4.58119e+142,-1.62755e+46
0.225,-4.86309e+45,-1.92916e+133,1.54299e+44
0.235,-2.49345e+48,1.191e+137,1.80008e+44
0.245,-2.78129e+43,3.32392e+128,-3.69186e+42
0.255,-2.24613e+42,-1.20466e+127,3.33571e+42
0.265,-7.42917e+42,4.45155e+128,2.25872e+43
0.275,2.60037e+43,-3.50821e+127,1.59135e+42
0.285,1.85627e+43,-1.42817e+128,9.25623e+42
0.295,1.72098e+45,-4.93018e+129,1.23704e+43
0.305,-3.47866e+43,-1.64891e+128,1.19096e+43
0.315,-1.72294e+45,4.94485e+129,1.23566e+43
0.325,4.5199e+42,-1.61756e+129,5.45311e+43
0.335,-8.51838e+42,1.44e+127,7.1181e+41
0.345,9.45375e+42,-1.00563e+127,6.80204e+42
0.355,4.39808e+44,-2.511e+127,6.60075e+42
0.365,-1.48979e+43,-1.78786e+126,6.55996e+42
0.375,1.73916e+44,-6.4827e+129,2.26792e+43
0.385,-1.87426e+43,-1.21661e+127,1.1036e+43
0.395,-5.52356e+44,4.19634e+127,1.11018e+43
0.405,-8.33401e+43,6.07532e+126,1.1237e+43
0.415,-4.77462e+43,5.99701e+126,1.12599e+43
0.425,2.50415e+45,-8.20865e+128,1.10662e+43
0.435,-6.53026e+43,-1.30705e+127,1.10493e+43
0.445,-2.39046e+45,8.56734e+128,1.10683e+43
0.455,7.06049e+43,-1.24399e+127,1.1015e+43
0.465,2.92817e+43,-8.23392e+127,1.13618e+43
0.475,1.71808e+43,-1.00618e+128,1.13965e+43
0.485,3.2899e+42,-2.19345e+128,2.22086e+43
0.495,6.3618e+42,-3.27509e+128,2.52004e+43
0.505,2.296e+45,-7.19548e+128,1.27455e+43
0.515,-5.77069e+43,-1.41774e+127,1.26982e+43
0.525,-2.3599e+45,6.80955e+128,1.2738e+43
0.535,-1.08619e+43,2.15364e+127,1.66718e+43
0.545,3.10046e+42,-3.82612e+127,3.9817e+42
0.555,8.31721e+41,-2.88333e+127,-1.71595e+42
0.565,6.2107e+42,-3.61748e+126,7.00109e+42
0.575,-1.75803e+43,-5.82544e+128,3.43223e+42
0.585,4.24752e+43,3.37e+128,2.05936e+42
0.595,-2.87086e+44,2.68608e+128,9.83423e+42
0.605,1.15368e+44,3.20926e+127,9.09362e+42
0.615,-3.78599e+45,4.497e+128,9.31326e+42
0.625,-9.45254e+43,4.04743e+127,1.0102e+43
0.635,-5.15858e+42,-7.71673e+126,7.0607e+42
0.645,-4.28844e+43,-1.37801e+124,7.54029e+42
0.655,-2.05697e+43,-2.05628e+125,7.35512e+42
0.665,-1.28289e+42,1.70656e+126,7.86499e+42
0.675,2.1989e+43,-1.91492e+127,7.34307e+42
0.685,-9.66033e+42,-3.3854e+127,5.6231e+42
0.695,3.06826e+42,1.71618e+127,1.76884e+42
0.705,-1.29459e+44,5.6263e+127,7.41325e+42
0.715,1.36959e+43,5.73981e+125,7.25105e+42
0.725,3.38607e+44,-3.05423e+127,6.84171e+42
0.735,-2.93689e+43,-4.59406e+126,6.53475e+42
0.745,-1.89934e+44,6.45704e+127,6.51171e+42
0.755,-2.89677e+42,1.13708e+127,1.41318e+43
0.765,-7.17913e+42,-3.59698e+126,8.42348e+42
0.775,1.5376e+43,-9.31193e+126,4.91678e+42
0.785,6.08502e+42,-1.10644e+127,4.88968e+42
0.795,-6.5141e+41,5.48398e+126,1.99976e+43
0.805,-4.7383e+41,1.73417e+126,1.71735e+43
0.815,-1.05525e+41,2.47086e+127,4.81947e+43
0.825,-6.73406e+41,1.23621e+126,1.65785e+43
0.835,-8.70553e+42,3.14526e+126,1.75015e+43
0.845,1.0448e+45,-1.53923e+128,1.71513e+43
0.855,-6.54451e+43,-1.07318e+127,1.714e+43
0.865,-9.80937e+44,1.56754e+128,1.71496e+43
0.875,8.38502e+45,-9.03089e+128,1.71518e+43
0.885,-5.08273e+44,-4.8922e+126,1.71509e+43
0.895,-8.72796e+45,8.95509e+128,1.71514e+43
0.905,4.20364e+44,-5.39927e+128,1.71433e+43
0.915,3.58432e+44,-8.23544e+128,1.68567e+43
0.925,-2.47016e+43,-2.00708e+129,8.99074e+42
0.935,-1.31998e+44,5.71136e+128,1.46734e+43
0.945,1.75252e+43,6.53405e+128,5.67667e+42
0.955,-1.77927e+44,1.20992e+129,2.7413e+43
0.965,1.58316e+43,2.09991e+128,2.13739e+43
0.975,-1.73338e+44,4.53733e+128,1.77482e+43
0.985,3.5033e+43,1.57137e+128,1.99119e+43
0.995,0.125,0.1,0
1.5,0.125,0.1,0
