x,rho,p,u
0.005,-5.60873e+41,-1.69505e+128,-3.1012e+43
0.015,5.77106e+43,7.09504e+127,1.69732e+43
0.025,-9.15108e+43,6.63704e+128,1.8122e+43
0.035,6.56332e+43,3.12255e+126,1.72664e+43
0.045,5.37125e+44,-1.78035e+128,1.75057e+43
0.055,-2.43881e+43,-3.77729e+127,1.79634e+43
0.065,-5.78569e+43,1.02867e+128,1.86509e+43
0.075,2.83717e+43,-2.95674e+128,2.03679e+43
0.085,1.69582e+42,-1.25143e+128,-8.32481e+42
0.095,1.11117e+43,1.43522e+128,4.29483e+42
0.105,-6.5204e+41,1.32306e+129,-9.29695e+43
0.115,2.35379e+43,5.40547e+127,2.63939e+42
0.125,2.90151e+42,1.22278e+128,1.64736e+43
0.135,-2.67924e+43,1.23775e+128,4.63977e+41
0.145,5.03034e+42,-4.31507e+125,1.3709e+42
0.155,-1.68856e+41,-5.05571e+123,1.82662e+42
0.165,-1.12584e+40,2.59975e+127,1.10164e+44
0.175,5.20154e+41,4.89692e+125,2.08222e+42
0.185,-1.65578e+43,8.74438e+125,9.95374e+41
0.195,1.82352e+43,1.14051e+125,1.13075e+42
0.205,6.74492e+43,-4.17826e+126,1.2727e+42
0.215,1.77079e+48,-8.45834e+136,1.80011e+44
0.225,-4.86309e+45,-1.92916e+133,1.54299e+44
0.235,-1.77081e+48,8.45842e+136,1.80008e+44
0.245,-3.50285e+43,2.3788e+128,-1.91303e+42
0.255,-2.24613e+42,-1.20466e+127,3.33571e+42
0.265,-2.13563e+41,1.60819e+130,6.1871e+44
0.275,2.60037e+43,-3.50821e+127,1.59135e+42
0.285,1.85627e+43,-1.42817e+128,9.25623e+42
0.295,1.32199e+45,-3.84306e+129,1.23893e+43
0.305,-3.47866e+43,-1.64891e+128,1.19096e+43
0.315,-1.32395e+45,3.85757e+129,1.23714e+43
0.325,4.5199e+42,-1.61756e+129,5.45311e+43
0.335,-8.51838e+42,1.44e+127,7.1181e+41
0.345,9.45375e+42,-1.00563e+127,6.80204e+42
0.355,3.4569e+44,-2.16323e+127,6.60687e+42
0.365,-1.48979e+43,-1.78786e+126,6.55996e+42
0.375,6.88323e+43,-8.76598e+129,3.41886e+43
0.385,-1.87426e+43,-1.21661e+127,1.1036e+43
0.395,-3.53154e+44,3.15716e+127,1.11057e+43
0.405,-8.33401e+43,6.07532e+126,1.1237e+43
0.415,-4.77462e+43,5.99701e+126,1.12599e+43
0.425,1.80926e+45,-5.7547e+128,1.10658e+43
0.435,-6.53026e+43,-1.30705e+127,1.10493e+43
0.445,-1.69557e+45,6.11338e+128,1.10687e+43
0.455,7.06049e+43,-1.24399e+127,1.1015e+43
0.465,2.92817e+43,-8.23392e+127,1.13618e+43
0.475,1.71808e+43,-1.00618e+128,1.13965e+43
0.485,3.2899e+42,-2.19345e+128,2.22086e+43
0.495,6.3618e+42,-3.27509e+128,2.52004e+43
0.505,1.5903e+45,-5.08518e+128,1.27579e+43
0.515,-5.77069e+43,-1.41774e+127,1.26982e+43
0.525,-1.6542e+45,4.6985e+128,1.27466e+43
0.535,-1.08619e+43,2.15364e+127,1.66718e+43
0.545,3.10046e+42,-3.82612e+127,3.9817e+42
0.555,2.22675e+42,-1.82287e+127,3.4768e+42
0.565,1.33961e+42,-6.55748e+126,1.86423e+42
0.575,1.05655e+42,-1.00496e+126,1.09833e+42
0.585,1.43146e+43,-7.00402e+125,-1.30577e+42
0.595,3.43846e+42,4.12905e+126,-1.10492e+42
0.605,6.09573e+41,1.24941e+126,-6.54896e+41
0.615,-1.78635e+44,4.86618e+125,9.29912e+42
0.625,1.47704e+42,-1.71083e+127,8.77657e+42
0.635,-5.41634e+42,-7.72795e+126,7.08351e+42
0.645,-5.29611e+42,3.21066e+127,9.86384e+42
0.655,4.4729e+42,7.5155e+126,6.76958e+42
0.665,-2.79591e+41,-6.99738e+126,2.666e+42
0.675,-1.87955e+42,1.54363e+127,1.01948e+43
0.685,1.90855e+42,1.22698e+127,2.41414e+42
0.695,-1.6367e+43,2.07397e+126,7.51267e+42
0.705,7.0921e+42,1.98699e+126,7.39684e+42
0.715,3.3763e+43,-4.64906e+126,7.11456e+42
0.725,3.78335e+42,-9.49723e+126,5.23609e+42
0.735,-2.93689e+43,-4.59406e+126,6.53475e+42
0.745,-9.56476e+42,1.6742e+127,7.52125e+42
0.755,1.30669e+43,-3.65705e+126,4.47578e+42
0.765,3.81278e+42,7.40252e+126,6.45383e+42
0.775,-5.87673e+41,1.05113e+128,4.05339e+43
0.785,-4.48355e+41,2.40595e+126,1.77412e+43
0.795,-6.5141e+41,5.48398e+126,1.99976e+43
0.805,-4.7383e+41,1.73417e+126,1.71735e+43
0.815,-1.05525e+41,2.47086e+127,4.81947e+43
0.825,-6.73406e+41,1.23621e+126,1.65785e+43
0.835,-2.71794e+42,3.56455e+126,1.78297e+43
0.845,-2.25007e+42,9.39052e+125,1.64153e+43
0.855,-8.49729e+42,-4.29821e+126,1.71926e+43
0.865,5.92404e+43,2.18228e+126,1.71594e+43
0.875,-7.14281e+43,-2.60082e+126,1.71134e+43
0.885,-4.85833e+44,-2.96044e+126,1.71518e+43
0.895,1.96926e+44,4.11217e+126,1.7149e+43
0.905,1.75134e+45,1.47729e+125,1.715e+43
0.915,-2.20578e+44,-7.26394e+124,1.71514e+43
0.925,-1.31556e+45,3.23582e+126,1.7153e+43
0.935,1.37302e+43,-1.80953e+128,1.00133e+43
0.945,5.79787e+42,2.65455e+126,1.85773e+43
0.955,3.88322e+43,-2.41705e+127,1.97023e+43
0.965,1.23628e+43,3.38254e+126,1.71254e+43
0.975,8.53148e+42,-2.06433e+126,1.72091e+43
0.985,-2.29965e+42,7.54115e+125,1.71857e+43
0.995,0.125,0.1,0
1.5,0.125,0.1,0
