x,rho,p,u
0.005,9.88145e+44,-1.21488e+131,1.90293e+43
0.015,1.02006e+45,-2.99878e+131,1.60366e+43
0.025,1.78162e+45,2.47832e+130,2.4303e+43
0.035,3.26709e+44,2.13872e+131,2.63791e+43
0.045,-3.19823e+43,1.55796e+131,-1.19613e+44
0.055,5.04736e+44,-1.74786e+131,1.57726e+43
0.065,3.87786e+44,-2.91811e+130,1.27369e+43
0.075,3.62235e+44,-1.01918e+131,-1.60423e+43
0.085,1.61437e+44,-5.03476e+131,-8.20621e+43
0.095,-5.65544e+44,3.46962e+131,1.69157e+44
0.105,3.06019e+44,6.14482e+130,1.39728e+44
0.115,4.94108e+44,-4.3472e+131,1.50268e+44
0.125,-1.26846e+44,1.1288e+132,2.70235e+44
0.135,9.07607e+44,-1.5905e+133,3.58827e+44
0.145,5.17277e+44,-6.12676e+130,1.07999e+44
0.155,-6.28803e+44,-6.73036e+129,1.07258e+44
0.165,-6.22924e+44,2.57935e+130,1.08202e+44
0.175,3.71706e+41,-9.69958e+132,-1.13531e+46
0.185,8.98942e+44,-3.49527e+132,1.14876e+44
0.195,-3.86107e+44,-1.18916e+132,7.95868e+43
0.205,-6.99308e+44,3.43723e+132,1.23521e+44
0.215,2.68667e+48,-4.58183e+142,-1.69453e+46
0.225,-4.86309e+45,-1.92916e+133,1.54299e+44
0.235,-2.3993e+48,1.14603e+137,1.80008e+44
0.245,-2.8753e+43,3.17648e+128,-3.40951e+42
0.255,-2.24613e+42,-1.20466e+127,3.33571e+42
0.265,-6.48904e+42,5.13348e+128,2.51434e+43
0.275,2.60037e+43,-3.50821e+127,1.59135e+42
0.285,1.85627e+43,-1.42817e+128,9.25623e+42
0.295,1.66899e+45,-4.78853e+129,1.23723e+43
0.305,-3.47866e+43,-1.64891e+128,1.19096e+43
0.315,-1.67095e+45,4.80318e+129,1.23581e+43
0.325,4.5199e+42,-1.61756e+129,5.45311e+43
0.335,-8.51838e+42,1.44e+127,7.1181e+41
0.345,9.45375e+42,-1.00563e+127,6.80204e+42
0.355,4.27546e+44,-2.46566e+127,6.60139e+42
0.365,-1.48979e+43,-1.78786e+126,6.55996e+42
0.375,1.60224e+44,-6.55589e+129,2.33234e+43
0.385,-1.87426e+43,-1.21661e+127,1.1036e+43
0.395,-5.26402e+44,4.06093e+127,1.11021e+43
0.405,-8.33401e+43,6.07532e+126,1.1237e+43
0.415,-4.77462e+43,5.99701e+126,1.12599e+43
