x,rho,p,u
0.005,-6.88792e+41,-3.87129e+123,4.29737e+41
0.015,4.51345e+41,1.65776e+123,2.68388e+41
0.025,-3.58602e+41,-5.16296e+122,2.03864e+41
0.035,3.85766e+41,5.37331e+122,1.70747e+41
0.045,5.11867e+41,-8.32293e+123,2.62538e+41
0.055,7.7734e+41,-5.30261e+124,-6.55348e+40
0.065,-2.02201e+42,-8.78906e+124,1.32232e+41
0.075,3.94674e+42,4.73244e+124,1.31914e+41
0.085,8.03346e+42,1.02581e+124,1.80721e+41
0.095,-1.11111e+42,-6.16937e+123,1.14293e+41
0.105,-4.15377e+42,7.3521e+124,1.64888e+41
0.115,-4.69089e+42,7.15394e+123,1.54252e+41
0.125,-1.72753e+42,2.75208e+125,-2.97238e+41
0.135,7.76695e+42,1.08554e+122,1.38466e+42
0.145,-7.51844e+41,-5.2243e+123,1.37079e+42
0.155,-7.55003e+42,1.17117e+125,1.44632e+42
0.165,1.83255e+41,-4.15482e+124,-5.35363e+41
0.175,8.39527e+40,-8.09223e+124,-1.64736e+42
0.185,1.33891e+42,-1.8825e+124,1.2096e+42
0.195,1.69122e+43,-1.65762e+125,1.09653e+42
0.205,3.10869e+43,-8.28938e+126,1.24467e+42
0.215,-1.12355e+43,-2.09703e+127,2.08358e+41
0.225,1.29364e+43,-3.97411e+129,2.26797e+43
0.235,-1.58384e+43,-2.36773e+126,1.24126e+42
0.245,-4.19783e+43,6.20709e+127,6.98083e+41
0.255,-2.24613e+42,-1.20466e+127,3.33571e+42
0.265,2.4034e+43,-1.20828e+128,-5.10285e+41
0.275,2.60037e+43,-3.50821e+127,1.59135e+42
0.285,1.37944e+43,-1.28787e+128,9.79944e+42
0.295,-1.44963e+43,-1.34966e+128,6.17766e+42
0.305,-2.52737e+43,-5.97533e+127,1.32055e+43
0.315,1.25395e+43,1.91258e+128,7.10618e+42
0.325,-2.24677e+41,3.7429e+130,-9.01632e+44
0.335,-8.51838e+42,1.44e+127,7.1181e+41
0.345,9.45375e+42,-1.00563e+127,6.80204e+42
0.355,2.94097e+43,-1.05141e+127,6.91467e+42
0.365,-1.48979e+43,-1.78786e+126,6.55996e+42
0.375,-3.73398e+43,2.38716e+126,6.9151e+42
0.385,-1.88652e+41,1.3883e+128,6.67899e+43
0.395,-7.69262e+41,2.63643e+127,1.95493e+43
0.405,8.28756e+41,-2.2561e+127,-7.18804e+42
0.415,5.68208e+42,3.01682e+127,4.91471e+42
0.425,7.53174e+42,3.36849e+127,6.14172e+42
0.435,4.42336e+42,1.18344e+127,6.27123e+42
0.445,1.34117e+42,1.46513e+126,5.88959e+42
0.455,2.14936e+41,8.04438e+124,5.29239e+42
0.465,1.78456e+40,2.46358e+123,4.66032e+42
0.475,6.12196e+38,-1.50044e+122,4.42983e+42
0.485,2.90974e+37,-1.83413e+109,4.82171e+36
0.495,2.09512e+38,-3.92054e+110,8.47292e+36
0.505,-5.46438e+37,-4.76963e+109,8.25929e+36
0.515,-3.20199e+38,2.33077e+110,8.76765e+36
0.525,1.70397e+37,-3.83012e+110,9.90689e+36
0.535,3.9247e+37,-8.53154e+109,8.91471e+36
0.545,-5.67467e+37,1.09948e+110,1.01323e+37
0.555,2.58475e+37,-2.19969e+110,8.75268e+36
0.565,9.62369e+37,3.97533e+109,9.80877e+36
0.575,1.24977e+38,1.15982e+110,1.02673e+37
0.585,8.16775e+37,-5.03114e+110,1.18635e+37
0.595,1.16271e+37,-9.58035e+110,2.48151e+37
0.605,-1.36033e+37,1.89642e+110,-1.35578e+36
0.615,2.63229e+37,-3.08111e+111,2.86467e+37
0.625,-1.65494e+37,1.43067e+111,-1.38792e+37
0.635,9.0492e+36,-1.81255e+112,1.05894e+38
0.645,1.48055e+37,-8.82606e+111,6.37725e+37
0.655,2.66445e+37,-2.04924e+112,6.81609e+37
0.665,1.8259e+37,-1.74597e+112,8.41999e+37
0.675,3.98171e+38,-6.46245e+112,3.3627e+37
0.685,-1.24932e+38,-1.02585e+112,2.46449e+37
0.695,-4.50714e+38,9.03609e+112,2.33164e+37
0.705,1.77527e+38,-4.97391e+112,7.4042e+37
0.715,2.31047e+38,-7.93669e+112,8.49643e+37
0.725,2.52391e+38,-1.19641e+113,9.81606e+37
