x,rho,p,u
0.005,-7.45231e+41,-4.44847e+123,4.15395e+41
0.015,-5.90912e+40,4.6826e+124,2.28716e+42
0.025,-4.11898e+41,-5.56058e+122,1.90891e+41
0.035,2.3044e+41,5.2441e+122,1.507e+41
0.045,6.21642e+41,-7.92856e+123,2.4688e+41
0.055,2.3223e+42,-2.5494e+125,2.13717e+41
0.065,-3.19565e+42,-3.25089e+125,8.58184e+40
0.075,3.66348e+40,-1.97403e+125,-5.97791e+42
0.085,9.48995e+42,-1.50488e+125,1.53172e+41
0.095,1.35536e+42,1.33744e+125,2.64243e+41
0.105,-3.10045e+42,1.6726e+125,9.04591e+40
0.115,1.21953e+43,-5.24534e+126,1.5731e+42
0.125,-8.94044e+42,-8.74176e+125,1.13823e+42
0.135,-1.82903e+43,3.23006e+126,1.25838e+42
0.145,4.87651e+42,-4.34696e+125,1.35086e+42
0.155,4.49883e+41,1.23314e+125,1.4734e+42
0.165,1.26257e+42,4.80696e+125,1.66015e+42
0.175,4.46259e+41,4.65298e+125,2.5097e+42
0.185,1.76788e+42,2.81556e+125,1.45358e+42
0.195,1.76903e+43,-9.41162e+124,1.10858e+42
0.205,4.80035e+43,-5.09458e+126,1.32832e+42
0.215,9.65399e+47,-4.61156e+136,1.80013e+44
0.225,-4.86309e+45,-1.92916e+133,1.54299e+44
0.235,-9.65418e+47,4.61163e+136,1.80008e+44
0.245,-4.30703e+43,1.66281e+128,-6.32814e+41
0.255,-2.24613e+42,-1.20466e+127,3.33571e+42
0.265,7.82823e+42,-4.37172e+128,-1.18007e+43
0.275,2.60037e+43,-3.50821e+127,1.59135e+42
0.285,1.85627e+43,-1.42817e+128,9.25623e+42
0.295,8.77318e+44,-2.63191e+129,1.24307e+43
0.305,-3.47866e+43,-1.64891e+128,1.19096e+43
0.315,-8.79275e+44,2.64607e+129,1.24036e+43
0.325,4.5199e+42,-1.61756e+129,5.45311e+43
0.335,-8.51838e+42,1.44e+127,7.1181e+41
0.345,9.45375e+42,-1.00563e+127,6.80204e+42
0.355,2.40795e+44,-1.77676e+127,6.61934e+42
0.365,-1.48979e+43,-1.78786e+126,6.55996e+42
0.375,-4.82831e+43,4.169e+129,-1.20152e+43
0.385,-1.87426e+43,-1.21661e+127,1.1036e+43
0.395,-1.31144e+44,2.00007e+127,1.1124e+43
0.405,-8.33401e+43,6.07532e+126,1.1237e+43
0.415,-4.77462e+43,5.99701e+126,1.12599e+43
0.425,1.03481e+45,-3.01976e+128,1.10646e+43
0.435,-6.53026e+43,-1.30705e+127,1.10493e+43
0.445,-9.21118e+44,3.37845e+128,1.10698e+43
0.455,7.06049e+43,-1.24399e+127,1.1015e+43
0.465,2.92817e+43,-8.23392e+127,1.13618e+43
0.475,1.71808e+43,-1.00618e+128,1.13965e+43
0.485,3.2899e+42,-2.19345e+128,2.22086e+43
0.495,6.3618e+42,-3.27509e+128,2.52004e+43
0.505,8.03793e+44,-2.73653e+128,1.27973e+43
0.515,-5.77069e+43,-1.41774e+127,1.26982e+43
0.525,-8.67691e+44,2.34733e+128,1.2773e+43
0.535,-1.08619e+43,2.15364e+127,1.66718e+43
0.545,3.10046e+42,-3.82612e+127,3.9817e+42
0.555,2.22675e+42,-1.82287e+127,3.4768e+42
0.565,1.33961e+42,-6.55748e+126,1.86423e+42
0.575,1.67986e+42,-1.81224e+126,5.38523e+41
0.585,3.38047e+42,1.94359e+126,-9.81464e+41
0.595,2.20093e+42,4.34441e+126,-1.00543e+42
0.605,1.62853e+42,6.89139e+126,-1.07611e+42
0.615,1.63315e+42,1.39964e+127,1.33117e+42
0.625,2.24696e+41,-2.16714e+127,-1.88043e+43
0.635,-1.94583e+41,3.01491e+127,2.55026e+43
0.645,3.52795e+42,2.63775e+127,6.46767e+42
0.655,-3.78547e+41,2.77527e+126,1.74588e+43
0.665,-3.68731e+42,7.50991e+126,1.04789e+43
0.675,1.36536e+42,2.62684e+127,3.77265e+42
0.685,4.086e+42,3.76558e+127,6.46141e+42
0.695,2.65378e+42,1.27402e+127,4.97875e+42
0.705,9.54201e+39,-9.99235e+128,-7.14801e+44
0.715,-2.69562e+41,1.28099e+127,2.52876e+43
0.725,-4.30699e+41,1.01576e+127,2.16677e+43
0.735,-7.27922e+41,6.70432e+126,1.87741e+43
0.745,-4.96055e+41,6.24044e+126,1.99217e+43
0.755,-5.37619e+41,5.38612e+126,1.94774e+43
0.765,-7.60611e+41,4.28756e+126,1.83348e+43
0.775,-5.4844e+41,3.66916e+126,1.88701e+43
0.785,-4.14573e+41,3.71214e+126,1.97629e+43
0.795,-3.64156e+41,3.65798e+126,2.02742e+43
