x,rho,p,u
0.005,4.18149e+44,-1.97493e+127,1.72107e+43
0.015,2.67044e+44,7.26608e+127,1.71788e+43
0.025,-4.10551e+44,7.34806e+128,1.74918e+43
0.035,6.56332e+43,3.12255e+126,1.72664e+43
0.045,1.11396e+45,-1.07972e+128,1.74959e+43
0.055,-2.43881e+43,-3.77729e+127,1.79634e+43
0.065,-2.1868e+44,8.58473e+127,1.82087e+43
0.075,4.1814e+43,-8.47826e+127,1.95675e+43
0.085,-2.89806e+42,-8.57233e+127,1.55798e+43
0.095,-2.43501e+42,2.1811e+129,7.92254e+43
0.105,3.0659e+42,-2.35627e+128,3.03826e+43
0.115,4.97071e+42,-3.66727e+129,-4.7937e+43
0.125,3.87893e+42,1.54397e+128,1.3058e+43
0.135,-8.22519e+42,3.60873e+129,-3.50114e+43
0.145,5.14357e+42,-4.24668e+125,1.38129e+42
0.155,-1.68856e+41,-5.05571e+123,1.82662e+42
0.165,-5.22078e+41,1.47235e+125,4.70541e+42
0.175,5.20154e+41,4.89692e+125,2.08222e+42
0.185,-2.37295e+43,9.46448e+125,1.01453e+42
0.195,1.82352e+43,1.14051e+125,1.13075e+42
0.205,7.50185e+43,-3.81919e+126,1.25894e+42
0.215,2.04625e+48,-9.77402e+136,1.8001e+44
0.225,-4.86309e+45,-1.92916e+133,1.54299e+44
0.235,-2.04627e+48,9.77409e+136,1.80008e+44
0.245,-3.2278e+43,2.69401e+128,-2.49729e+42
0.255,-2.24613e+42,-1.20466e+127,3.33571e+42
0.265,-2.96401e+42,1.14756e+129,4.91666e+43
0.275,2.60037e+43,-3.50821e+127,1.59135e+42
0.285,1.85627e+43,-1.42817e+128,9.25623e+42
0.295,1.47408e+45,-4.25743e+129,1.23809e+43
0.305,-3.47866e+43,-1.64891e+128,1.19096e+43
0.315,-1.47603e+45,4.27201e+129,1.23648e+43
0.325,4.5199e+42,-1.61756e+129,5.45311e+43
0.335,-8.51838e+42,1.44e+127,7.1181e+41
0.345,9.45375e+42,-1.00563e+127,6.80204e+42
0.355,3.81566e+44,-2.29573e+127,6.60418e+42
0.365,-1.48979e+43,-1.78786e+126,6.55996e+42
0.375,1.08888e+44,-7.20859e+129,2.71814e+43
0.385,-1.87426e+43,-1.21661e+127,1.1036e+43
0.395,-4.29086e+44,3.55324e+127,1.11038e+43
0.405,-8.33401e+43,6.07532e+126,1.1237e+43
0.415,-4.77462e+43,5.99701e+126,1.12599e+43
0.425,2.07414e+45,-6.6901e+128,1.1066e+43
0.435,-6.53026e+43,-1.30705e+127,1.10493e+43
0.445,-1.96045e+45,7.04878e+128,1.10685e+43
0.455,7.06049e+43,-1.24399e+127,1.1015e+43
0.465,2.92817e+43,-8.23392e+127,1.13618e+43
0.475,1.71808e+43,-1.00618e+128,1.13965e+43
0.485,3.2899e+42,-2.19345e+128,2.22086e+43
0.495,6.3618e+42,-3.27509e+128,2.52004e+43
0.505,1.8593e+45,-5.88944e+128,1.27521e+43
0.515,-5.77069e+43,-1.41774e+127,1.26982e+43
0.525,-1.9232e+45,5.50312e+128,1.27426e+43
0.535,-1.08619e+43,2.15364e+127,1.66718e+43
0.545,3.10046e+42,-3.82612e+127,3.9817e+42
0.555,2.22675e+42,-1.82287e+127,3.4768e+42
0.565,1.33961e+42,-6.55748e+126,1.86423e+42
0.575,1.05655e+42,-1.00496e+126,1.09833e+42
0.585,2.31363e+43,-6.89613e+124,-1.30019e+42
0.595,6.07159e+42,3.68493e+126,-1.41163e+42
0.605,9.89278e+41,2.5248e+126,-2.14788e+41
0.615,-1.00153e+45,6.14325e+124,9.30296e+42
0.625,1.55613e+43,-1.07168e+127,7.42652e+42
0.635,-5.41634e+42,-7.72795e+126,7.08351e+42
0.645,-2.52836e+43,9.86379e+126,7.73265e+42
0.655,-3.87157e+42,5.50074e+126,7.81294e+42
0.665,4.30375e+42,1.63607e+126,7.19941e+42
0.675,4.17934e+42,7.72047e+125,7.27045e+42
0.685,3.93726e+42,1.80137e+127,4.83024e+42
0.695,-3.20665e+43,1.12364e+127,7.67087e+42
0.705,-1.45539e+43,1.70075e+126,7.13771e+42
0.715,5.05242e+43,2.96142e+125,7.22296e+42
0.725,9.5882e+43,-1.93056e+127,6.65639e+42
0.735,-2.93689e+43,-4.59406e+126,6.53475e+42
0.745,-8.00174e+43,2.8389e+127,6.67375e+42
0.755,4.03366e+42,-4.85547e+127,-6.27668e+41
0.765,3.81278e+42,7.40252e+126,6.45383e+42
0.775,8.44552e+42,-2.38267e+127,4.40417e+42
0.785,-4.48355e+41,2.40595e+126,1.77412e+43
0.795,-6.5141e+41,5.48398e+126,1.99976e+43
0.805,-4.7383e+41,1.73417e+126,1.71735e+43
0.815,-1.05525e+41,2.47086e+127,4.81947e+43
0.825,-6.73406e+41,1.23621e+126,1.65785e+43
0.835,-8.70553e+42,3.14526e+126,1.75015e+43
0.845,3.76295e+44,-5.22583e+127,1.71544e+43
0.855,-6.54451e+43,-1.07318e+127,1.714e+43
0.865,-3.12436e+44,5.50882e+127,1.71497e+43
0.875,3.18988e+45,-3.40336e+128,1.71524e+43
0.885,-5.08273e+44,-4.8922e+126,1.71509e+43
0.895,-3.53282e+45,3.32756e+128,1.71514e+43
0.905,4.20364e+44,-5.39927e+128,1.71433e+43
0.915,2.59505e+44,-1.07986e+129,1.69379e+43
0.925,2.33934e+43,1.50589e+128,1.79701e+43
0.935,2.42464e+43,8.58529e+128,1.30588e+43
0.945,1.36766e+43,3.92721e+128,1.6196e+43
0.955,2.12718e+43,-9.47798e+127,2.43787e+43
0.965,8.9875e+42,-4.58623e+124,1.71262e+43
0.975,2.05681e+43,2.9212e+126,1.7159e+43
0.985,7.66013e+42,3.47453e+126,1.71652e+43
0.995,0.125,0.1,0
1.5,0.125,0.1,0
