x,rho,p,u
0.005,3.49642e+63,3.78234e+63,37.4158
0.015,-3.49194e+64,-4.23061e+64,36.7066
0.025,-1.04813e+64,-1.13347e+64,37.4176
0.035,6.99467e+64,8.4724e+64,36.7081
0.045,1.74303e+64,1.88367e+64,37.421
0.055,-1.05084e+65,-1.2724e+65,36.7104
0.065,-2.42904e+64,-2.62226e+64,37.4258
0.075,1.40142e+65,1.6961e+65,36.713
0.085,3.0974e+64,3.33889e+64,37.4313
0.095,-1.74677e+65,-2.11286e+65,36.7154
0.105,-3.7358e+64,-4.01945e+64,37.4371
0.115,2.07978e+65,2.51396e+65,36.7171
0.125,4.32891e+64,4.64699e+64,37.4425
0.135,-2.39108e+65,-2.88792e+65,36.7175
0.145,-4.85862e+64,-5.20234e+64,37.4468
0.155,2.66977e+65,3.22154e+65,36.7162
0.165,5.30536e+64,5.66504e+64,37.4496
0.175,-2.90435e+65,-3.50108e+65,36.7126
0.185,-5.65119e+64,-6.01638e+64,37.4504
0.195,3.08413e+65,3.71386e+65,36.7062
0.205,5.88246e+64,6.24283e+64,37.4486
0.215,-3.20055e+65,-3.84989e+65,36.6968
0.225,-5.99866e+64,-6.34274e+64,37.444
0.235,3.24985e+65,3.90449e+65,36.6842
0.245,6.00278e+64,6.32488e+64,37.435
0.255,-3.23303e+65,-3.87903e+65,36.6679
0.265,-5.90363e+64,-6.18454e+64,37.4273
0.275,3.15238e+65,3.7756e+65,36.6497
0.285,5.77304e+64,6.03973e+64,37.4038
0.295,-3.00525e+65,-3.59368e+65,36.6223
0.305,-5.93972e+64,-6.16795e+64,37.3871
0.315,2.79745e+65,3.3413e+65,36.5817
0.325,6.79314e+64,6.954e+64,37.3807
0.335,-2.54182e+65,-3.02836e+65,36.571
0.345,-8.24037e+64,-9.07037e+64,37.1243
0.355,2.2387e+65,2.66574e+65,36.5618
0.365,9.72654e+64,1.10967e+65,36.9555
0.375,-1.89016e+65,-2.25742e+65,36.4969
0.385,-1.10203e+65,-1.27374e+65,36.8861
0.395,1.51674e+65,1.81575e+65,36.4357
0.405,1.18918e+65,1.4001e+65,36.7665
0.415,-1.14452e+65,-1.37405e+65,36.3831
0.425,-1.19455e+65,-1.41412e+65,36.7241
0.435,8.47457e+64,1.02101e+65,36.4021
0.445,1.14456e+65,1.36471e+65,36.6724
0.455,-5.39891e+64,-6.50735e+64,36.3669
0.465,-1.05931e+65,-1.27192e+65,36.6111
0.475,2.1329e+64,2.45678e+64,35.9255
0.485,9.2582e+64,1.11353e+65,36.5852
0.495,2.23924e+63,-1.10709e+64,41.9982
0.505,-7.49809e+64,-9.02096e+64,36.5668
0.515,-1.7783e+64,-2.00315e+64,37.0829
0.525,5.59386e+64,6.72764e+64,36.5466
0.535,2.58034e+64,3.03914e+64,36.8108
0.545,-3.75261e+64,-4.51003e+64,36.4793
0.555,-2.85259e+64,-3.35945e+64,36.7835
0.565,2.09329e+64,2.50446e+64,36.355
0.575,2.73789e+64,3.23226e+64,36.7423
0.585,-7.97569e+63,-9.30662e+63,36.1235
0.595,-2.33791e+64,-2.76756e+64,36.7062
0.605,-3.28729e+62,9.05354e+63,48.5001
0.615,1.7539e+64,2.08651e+64,36.6523
0.625,4.94638e+63,5.34679e+63,37.2917
0.635,-1.16947e+64,-1.39516e+64,36.6061
0.645,-7.16513e+63,-8.35776e+63,36.9486
0.655,6.69057e+63,7.98952e+63,36.6267
0.665,7.15499e+63,8.44328e+63,36.8694
0.675,-2.69188e+63,-3.20291e+63,36.4226
0.685,-5.84196e+63,-6.95039e+63,36.811
0.695,-1.30821e+62,2.63731e+63,46.9584
0.705,4.0975e+63,4.91075e+63,36.7455
0.715,1.4475e+63,1.58057e+63,37.4059
0.725,-2.39052e+63,-2.87914e+63,36.6709
0.735,-1.81044e+63,-2.12534e+63,37.1083
0.745,1.04938e+63,1.25911e+63,36.4887
0.755,1.59643e+63,1.91561e+63,37.0029
0.765,-1.84742e+62,-1.31504e+62,35.1686
0.775,-1.14436e+63,-1.39264e+63,36.9427
0.785,-2.55056e+62,-2.64927e+62,37.7648
0.795,6.79658e+62,8.37531e+62,36.8828
0.805,3.92577e+62,4.70988e+62,37.2686
0.815,-3.1743e+62,-3.95402e+62,36.7767
0.825,-3.5885e+62,-4.43263e+62,37.145
0.835,8.7318e+61,1.0598e+62,36.3819
0.845,2.5759e+62,3.24278e+62,37.0821
0.855,2.86932e+61,2.53254e+61,38.2914
0.865,-1.51532e+62,-1.93855e+62,37.0301
0.875,-6.82483e+61,-8.55377e+61,37.3518
0.885,7.15663e+61,9.29837e+61,36.9769
0.895,6.60885e+61,8.52918e+61,37.2292
0.905,-2.04706e+61,-2.67912e+61,36.8378
0.915,-4.66462e+61,-6.14709e+61,37.1403
0.925,-5.68599e+60,-5.94005e+60,38.1916
0.935,2.63688e+61,3.52015e+61,37.1246
0.945,1.20439e+61,1.58966e+61,37.3682
0.955,-1.17224e+61,-1.58593e+61,37.0846
0.965,-9.86501e+60,-1.32136e+61,37.3005
0.975,3.7257e+60,5.10476e+60,36.976
0.985,3.57038e+60,4.80335e+60,37.2902
0.995,0.125,0.1,0
1.5,0.125,0.1,0
