x,rho,p,u
0.005,2.26071e+43,-2.10998e+127,1.74827e+43
0.015,-5.78201e+40,5.42499e+124,2.46333e+42
0.025,-4.25196e+41,-5.95631e+122,1.9004e+41
0.035,1.96703e+41,5.20289e+122,1.42642e+41
0.045,6.3494e+41,-7.87288e+123,2.45138e+41
0.055,2.73104e+42,-3.05819e+125,2.47396e+41
0.065,-3.19565e+42,-3.25089e+125,8.58184e+40
0.075,-3.18569e+41,2.87403e+125,1.27318e+42
0.085,9.59103e+42,-1.61109e+125,1.46916e+41
0.095,1.35536e+42,1.33744e+125,2.64243e+41
0.105,-2.81672e+42,1.9188e+125,5.86779e+40
0.115,1.65002e+43,-6.24415e+126,1.48205e+42
0.125,-8.94044e+42,-8.74176e+125,1.13823e+42
0.135,-2.25952e+43,4.30554e+126,1.25186e+42
0.145,4.82977e+42,-4.4419e+125,1.3513e+42
0.155,-1.68856e+41,-5.05571e+123,1.82662e+42
0.165,8.93622e+41,-3.67631e+124,1.0232e+42
0.175,5.20154e+41,4.89692e+125,2.08222e+42
0.185,-3.85357e+42,7.83631e+125,7.86368e+41
0.195,1.82352e+43,1.14051e+125,1.13075e+42
0.205,5.40407e+43,-4.83176e+126,1.30655e+42
0.215,1.28283e+48,-6.12772e+136,1.80012e+44
0.225,-4.86309e+45,-1.92916e+133,1.54299e+44
0.235,-1.28285e+48,6.12779e+136,1.80008e+44
0.245,-3.99007e+43,1.91542e+128,-1.07578e+42
0.255,-2.24613e+42,-1.20466e+127,3.33571e+42
0.265,4.65866e+42,-7.39804e+128,-2.31928e+43
0.275,2.60037e+43,-3.50821e+127,1.59135e+42
0.285,1.85627e+43,-1.42817e+128,9.25623e+42
0.295,1.05258e+45,-3.10918e+129,1.24102e+43
0.305,-3.47866e+43,-1.64891e+128,1.19096e+43
0.315,-1.05454e+45,3.12351e+129,1.23876e+43
0.325,4.5199e+42,-1.61756e+129,5.45311e+43
0.335,-8.51838e+42,1.44e+127,7.1181e+41
0.345,9.45375e+42,-1.00563e+127,6.80204e+42
0.355,2.82138e+44,-1.92886e+127,6.61332e+42
0.365,-1.48979e+43,-1.78786e+126,6.55996e+42
0.375,-2.1236e+42,1.5863e+131,-6.02277e+44
0.385,-1.87426e+43,-1.21661e+127,1.1036e+43
0.395,-2.18646e+44,2.45578e+127,1.11123e+43
0.405,-8.33401e+43,6.07532e+126,1.1237e+43
0.415,-4.77462e+43,5.99701e+126,1.12599e+43
0.425,1.34005e+45,-4.0977e+128,1.10652e+43
0.435,-6.53026e+43,-1.30705e+127,1.10493e+43
