x,rho,p,u
0.005,1.80062e+45,-8.54372e+130,1.92518e+43
0.015,8.68682e+44,-3.65657e+131,1.44964e+43
0.025,1.66428e+45,-4.56426e+131,2.27783e+43
0.035,9.14369e+44,-2.87624e+131,8.04318e+42
0.045,2.25785e+45,-6.25418e+131,2.59108e+44
0.055,-2.18218e+44,-1.66617e+132,1.97074e+44
0.065,1.42569e+46,-2.93132e+134,2.24192e+44
0.075,-1.37013e+45,-1.11382e+133,1.90328e+44
0.085,-1.46173e+46,2.58515e+134,2.49784e+44
0.095,3.02571e+45,-1.07699e+134,2.79282e+44
0.105,5.27464e+46,-6.58775e+135,9.3424e+44
0.115,-2.18827e+45,-3.52955e+134,6.82802e+44
0.125,-5.2219e+46,6.64879e+135,9.30099e+44
0.135,3.96015e+49,-2.9028e+140,9.7294e+45
0.145,-1.24933e+47,-1.98028e+137,9.56272e+45
0.155,-3.95555e+49,2.90645e+140,9.73662e+45
0.165,-1.90445e+46,5.77416e+135,3.83242e+45
0.175,-3.02334e+46,6.58569e+135,3.74072e+45
0.185,3.47876e+48,-3.99383e+137,4.43249e+45
0.195,-2.27839e+46,-1.84717e+135,4.42398e+45
0.205,-3.43627e+48,4.07687e+137,4.44244e+45
0.215,2.77157e+48,-4.58131e+142,-1.64016e+46
0.225,-4.86309e+45,-1.92916e+133,1.54299e+44
0.235,-2.47222e+48,1.18086e+137,1.80008e+44
0.245,-2.80249e+43,3.28987e+128,-3.62652e+42
0.255,-2.24613e+42,-1.20466e+127,3.33571e+42
0.265,-7.21712e+42,4.59011e+128,2.31056e+43
0.275,2.60037e+43,-3.50821e+127,1.59135e+42
0.285,1.85627e+43,-1.42817e+128,9.25623e+42
0.295,1.70925e+45,-4.89823e+129,1.23708e+43
0.305,-3.47866e+43,-1.64891e+128,1.19096e+43
0.315,-1.71121e+45,4.9129e+129,1.23569e+43
0.325,4.5199e+42,-1.61756e+129,5.45311e+43
0.335,-8.51838e+42,1.44e+127,7.1181e+41
0.345,9.45375e+42,-1.00563e+127,6.80204e+42
0.355,4.37043e+44,-2.50078e+127,6.60089e+42
0.365,-1.48979e+43,-1.78786e+126,6.55996e+42
0.375,1.70827e+44,-6.49684e+129,2.28155e+43
0.385,-1.87426e+43,-1.21661e+127,1.1036e+43
0.395,-5.46502e+44,4.1658e+127,1.11019e+43
0.405,-8.33401e+43,6.07532e+126,1.1237e+43
0.415,-4.77462e+43,5.99701e+126,1.12599e+43
0.425,2.48373e+45,-8.13654e+128,1.10662e+43
0.435,-6.53026e+43,-1.30705e+127,1.10493e+43
0.445,-2.37004e+45,8.49522e+128,1.10683e+43
0.455,7.06049e+43,-1.24399e+127,1.1015e+43
0.465,2.92817e+43,-8.23392e+127,1.13618e+43
0.475,1.71808e+43,-1.00618e+128,1.13965e+43
0.485,3.2899e+42,-2.19345e+128,2.22086e+43
0.495,6.3618e+42,-3.27509e+128,2.52004e+43
0.505,2.27526e+45,-7.13345e+128,1.27458e+43
0.515,-5.77069e+43,-1.41774e+127,1.26982e+43
0.525,-2.33916e+45,6.74751e+128,1.27381e+43
0.535,-1.08619e+43,2.15364e+127,1.66718e+43
0.545,3.10046e+42,-3.82612e+127,3.9817e+42
0.555,1.6252e+42,-2.1574e+127,2.49917e+42
0.565,3.85611e+42,1.43062e+127,6.2339e+42
0.575,-1.31427e+43,-4.22861e+128,3.65864e+42
0.585,4.71467e+43,3.15064e+128,2.31904e+42
0.595,-2.55512e+44,2.7743e+128,9.84966e+42
0.605,1.15368e+44,3.20926e+127,9.09362e+42
0.615,-3.81568e+45,4.02626e+128,9.31179e+42
0.625,-9.56105e+43,3.83242e+127,1.007e+43
0.635,-5.41634e+42,-7.72795e+126,7.08351e+42
0.645,-4.60177e+43,4.36498e+125,7.52931e+42
0.655,-2.01103e+43,-6.53817e+124,7.35543e+42
0.665,2.93603e+42,1.59631e+126,7.13144e+42
0.675,2.02363e+43,-1.91115e+127,7.42738e+42
0.685,-9.33689e+42,-3.19239e+127,5.66451e+42
0.695,4.61982e+42,2.10564e+127,3.25102e+42
0.705,-1.26543e+44,5.80291e+127,7.41021e+42
0.715,1.36959e+43,5.73981e+125,7.25105e+42
0.725,3.30365e+44,-2.98677e+127,6.84283e+42
0.735,-2.93689e+43,-4.59406e+126,6.53475e+42
0.745,-1.84502e+44,6.35546e+127,6.51032e+42
0.755,-4.60826e+42,4.28392e+126,1.20338e+43
0.765,-7.17913e+42,-3.59698e+126,8.42348e+42
0.775,1.70874e+43,-5.17378e+126,5.27398e+42
0.785,6.08502e+42,-1.10644e+127,4.88968e+42
0.795,-6.5141e+41,5.48398e+126,1.99976e+43
0.805,-4.7383e+41,1.73417e+126,1.71735e+43
0.815,-1.05525e+41,2.47086e+127,4.81947e+43
0.825,-6.73406e+41,1.23621e+126,1.65785e+43
0.835,-8.70553e+42,3.14526e+126,1.75015e+43
0.845,1.01305e+45,-1.49095e+128,1.71514e+43
0.855,-6.54451e+43,-1.07318e+127,1.714e+43
0.865,-9.4919e+44,1.51926e+128,1.71496e+43
