x,rho,p,u
0.005,2.46311e+28,3.56345e+28,29.788
0.015,1.41643e+29,2.33802e+29,30.3887
0.025,-1.55368e+29,-2.54356e+29,30.1118
0.035,-4.28922e+29,-7.17526e+29,30.4616
0.045,6.08745e+29,1.02813e+30,30.0574
0.055,8.78156e+29,1.45703e+30,30.5896
0.065,-1.63942e+30,-2.80248e+30,30.1136
0.075,-1.48224e+30,-2.4267e+30,30.7071
0.085,3.53436e+30,6.12028e+30,30.1219
0.095,2.23051e+30,3.36943e+30,31.028
0.105,-6.71965e+30,-1.16493e+31,30.2105
0.115,-2.8145e+30,-4.05429e+30,31.1886
0.125,1.13473e+31,1.95099e+31,30.3373
0.135,3.54724e+30,5.18091e+30,31.1916
0.145,-1.68495e+31,-2.87974e+31,30.4044
0.155,-4.55772e+30,-6.56477e+30,31.2583
0.165,2.23049e+31,3.80488e+31,30.4239
0.175,5.55787e+30,7.77832e+30,31.3318
0.185,-2.70725e+31,-4.60149e+31,30.4321
0.195,-6.83591e+30,-9.25487e+30,31.3874
0.205,3.01814e+31,5.10743e+31,30.4122
0.215,9.78002e+30,1.28559e+31,31.4288
0.225,-3.12603e+31,-5.28079e+31,30.362
0.235,-1.33989e+31,-1.94067e+31,31.1851
0.245,3.06716e+31,5.15792e+31,30.3416
0.255,1.61619e+31,2.53802e+31,30.9054
0.265,-2.80998e+31,-4.70617e+31,30.2946
0.275,-1.89056e+31,-3.01557e+31,30.796
0.285,2.21471e+31,3.68794e+31,30.2994
0.295,2.08143e+31,3.31226e+31,30.7564
0.305,-1.69119e+31,-2.77661e+31,30.4199
0.315,-2.09271e+31,-3.35741e+31,30.6667
0.325,1.09286e+31,1.80022e+31,30.2299
0.335,1.89686e+31,3.09201e+31,30.5306
0.345,-2.92605e+30,-3.39978e+30,28.6037
0.355,-1.5425e+31,-2.5348e+31,30.4529
0.365,-1.71996e+30,-8.9796e+28,32.9989
0.375,1.09964e+31,1.8235e+31,30.3401
0.385,4.51325e+30,6.73224e+30,31.124
0.395,-6.42896e+30,-1.07321e+31,30.3032
0.405,-5.51808e+30,-8.82793e+30,30.8384
0.415,2.72741e+30,4.56637e+30,30.2206
0.425,4.56316e+30,7.60916e+30,30.6302
0.435,-2.57479e+29,2.62834e+29,26.6864
0.445,-3.07705e+30,-5.20317e+30,30.5877
0.455,-9.28396e+29,-1.46438e+30,31.2211
0.465,1.58442e+30,2.71306e+30,30.5552
0.475,1.1341e+30,1.89166e+30,30.9622
0.485,-5.53952e+29,-9.63219e+29,30.4468
0.495,-8.35478e+29,-1.44575e+30,30.7797
0.505,3.77136e+28,-6.96101e+28,26.1622
0.515,4.599e+29,8.17035e+29,30.6746
0.525,1.43759e+29,2.35765e+29,31.3192
0.535,-1.90518e+29,-3.47983e+29,30.5565
0.545,-1.43528e+29,-2.54375e+29,31.0168
0.555,4.25947e+28,7.89842e+28,30.1309
0.565,8.19234e+28,1.53833e+29,30.7402
0.575,1.5776e+28,2.28651e+28,32.0122
0.585,-3.32213e+28,-6.38961e+28,30.6736
0.595,-2.05521e+28,-3.87532e+28,31.0903
0.605,6.78459e+27,1.31958e+28,30.4398
0.615,1.17968e+28,2.29244e+28,30.934
0.625,2.38665e+27,3.40271e+27,32.257
0.635,-3.87884e+27,-7.81702e+27,30.6176
0.645,-2.67891e+27,-5.29058e+27,31.201
0.655,3.52538e+26,5.64269e+26,29.1974
0.665,1.19989e+27,2.47108e+27,31.0159
0.675,4.16419e+26,8.22733e+26,31.5653
0.685,-2.50425e+26,-5.32295e+26,30.6674
0.695,-2.67577e+26,-5.70891e+26,31.2024
0.705,-3.74387e+25,-6.12853e+25,32.5456
0.715,7.38025e+25,1.63629e+26,30.9269
0.725,4.76137e+25,1.04195e+26,31.4632
0.735,-7.54514e+23,3.71083e+25,14.8559
0.745,-1.58329e+25,-3.67272e+25,31.255
0.755,-7.34946e+24,-1.67896e+25,31.6718
0.765,1.49337e+24,3.62201e+24,30.8967
0.775,2.67467e+24,6.58776e+24,31.3967
0.785,9.63782e+23,2.324e+24,31.8978
0.795,-2.52147e+23,-6.49155e+23,31.0692
0.805,-4.08845e+23,-1.07059e+24,31.5369
0.815,-1.38188e+23,-3.57566e+23,32.0285
0.825,2.84385e+22,7.80214e+22,31.243
0.835,4.90597e+22,1.37967e+23,31.6848
0.845,1.93911e+22,5.485e+22,32.1061
0.855,-7.17459e+20,6.38789e+20,27.1848
0.865,-4.58069e+21,-1.39722e+22,31.8852
0.875,-2.24894e+21,-6.95945e+21,32.2779
0.885,-2.63383e+20,-7.63642e+20,33.2101
0.895,2.91684e+20,9.67466e+20,32.0842
0.905,2.03156e+20,6.91582e+20,32.5001
0.915,5.73341e+19,1.97348e+20,32.961
0.925,-2.18237e+18,2.32467e+18,27.2217
0.935,-9.78889e+18,-3.87363e+19,32.54
0.945,-5.12778e+18,-2.10139e+19,33.1062
0.955,-1.44302e+18,-6.064e+18,33.6245
0.965,-1.06201e+17,-3.3115e+17,34.8369
0.975,1.06404e+17,6.22981e+17,33.8238
0.985,7.29123e+16,4.49892e+17,34.561
0.995,0.125,0.1,0
1.5,0.125,0.1,0
