x,rho,p,u
0.005,-7.45255e+41,-4.44928e+123,4.15382e+41
0.015,2.34586e+41,-1.85225e+123,5.31142e+40
0.025,-3.5679e+41,-4.16742e+122,1.93976e+41
0.035,3.23141e+41,5.30157e+122,1.64529e+41
0.045,5.66535e+41,-8.13259e+123,2.54269e+41
0.055,1.3042e+42,-1.09696e+125,8.45231e+40
0.065,-2.67416e+42,-1.61924e+125,1.25653e+41
0.075,1.92728e+42,3.75722e+123,4.14967e+40
0.085,8.34074e+42,3.79864e+124,1.77727e+41
0.095,2.7948e+41,9.94856e+124,5.68139e+41
0.105,-3.9548e+42,9.79314e+124,1.58729e+41
0.115,-5.05921e+41,5.3872e+126,-7.18794e+42
0.125,-8.93321e+42,-8.66243e+125,1.13636e+42
0.135,6.0271e+41,2.77942e+124,3.43242e+42
0.145,6.32068e+42,2.24207e+125,1.52358e+42
0.155,-4.60257e+42,2.11995e+125,1.42879e+42
0.165,1.83255e+41,-4.15482e+124,-5.35363e+41
0.175,8.39527e+40,-8.09223e+124,-1.64736e+42
0.185,1.33891e+42,-1.8825e+124,1.2096e+42
0.195,1.69122e+43,-1.65762e+125,1.09653e+42
0.205,4.80035e+43,-5.09458e+126,1.32832e+42
0.215,2.88392e+46,-1.38263e+135,1.80154e+44
0.225,-4.86309e+45,-1.92916e+133,1.54299e+44
0.235,-2.88585e+46,1.38335e+135,1.80007e+44
0.245,-5.24218e+43,1.06749e+128,3.61954e+41
0.255,-2.24613e+42,-1.20466e+127,3.33571e+42
0.265,1.71798e+43,-1.86483e+128,-2.68622e+42
0.275,2.60037e+43,-3.50821e+127,1.59135e+42
0.285,1.85627e+43,-1.42817e+128,9.25623e+42
0.295,3.60224e+44,-1.22628e+129,1.26075e+43
0.305,-3.47866e+43,-1.64891e+128,1.19096e+43
0.315,-3.62181e+44,1.23893e+129,1.25406e+43
0.325,4.5199e+42,-1.61756e+129,5.45311e+43
0.335,-8.51838e+42,1.44e+127,7.1181e+41
0.345,9.45375e+42,-1.00563e+127,6.80204e+42
0.355,1.18815e+44,-1.33282e+127,6.66152e+42
0.365,-1.48979e+43,-1.78786e+126,6.55996e+42
0.375,-1.26745e+44,5.10449e+126,6.67749e+42
0.385,-1.88652e+41,1.3883e+128,6.67899e+43
0.395,-7.69262e+41,2.63643e+127,1.95493e+43
0.405,-2.12895e+43,2.42419e+126,1.11574e+43
0.415,2.23293e+43,4.78714e+126,1.10857e+43
0.425,5.37956e+43,-1.44572e+127,1.09927e+43
0.435,-6.53026e+43,-1.30705e+127,1.10493e+43
0.445,-2.05328e+43,1.98562e+127,1.11769e+43
0.455,7.06049e+43,-1.24399e+127,1.1015e+43
0.465,2.92817e+43,-8.23392e+127,1.13618e+43
0.475,1.1494e+43,-1.11048e+128,1.2856e+43
0.485,-3.00496e+43,-6.20907e+127,9.2524e+42
0.495,-5.98051e+43,-9.23788e+127,1.13703e+43
0.505,-3.29452e+43,-2.36187e+127,1.37198e+43
0.515,1.3174e+43,9.96812e+127,7.54991e+42
0.525,2.4873e+43,2.89581e+128,1.02115e+43
