x,rho,p,u
0.005,6.72566e+42,9.56916e+126,1.64044e+43
0.015,-1.36972e+43,1.78432e+126,1.79922e+43
0.025,6.48748e+43,8.14947e+125,1.72613e+43
0.035,7.34055e+43,4.97714e+126,1.73344e+43
0.045,3.74139e+43,7.47173e+126,1.74009e+43
0.055,1.47871e+43,1.55032e+128,1.36171e+43
0.065,-7.4296e+41,3.18091e+128,-3.84055e+43
0.075,-5.15666e+41,3.16252e+125,8.99018e+41
0.085,9.65887e+42,-1.66743e+125,1.42941e+41
0.095,1.35536e+42,1.33744e+125,2.64243e+41
0.105,-2.63823e+42,2.07354e+125,3.52876e+40
0.115,1.92397e+43,-6.8978e+126,1.44533e+42
0.125,-8.94044e+42,-8.74176e+125,1.13823e+42
0.135,-2.53347e+43,4.99008e+126,1.24886e+42
0.145,4.9128e+42,-4.38847e+125,1.35961e+42
0.155,-1.68856e+41,-5.05571e+123,1.82662e+42
0.165,5.19021e+41,-4.62396e+125,4.31243e+40
0.175,5.20154e+41,4.89692e+125,2.08222e+42
0.185,-9.11283e+42,8.06383e+125,9.4358e+41
0.195,1.82352e+43,1.14051e+125,1.13075e+42
0.205,5.95915e+43,-4.55783e+126,1.29069e+42
0.215,1.48484e+48,-7.09255e+136,1.80011e+44
0.225,-4.86309e+45,-1.92916e+133,1.54299e+44
0.235,-1.48485e+48,7.09262e+136,1.80008e+44
0.245,-3.78837e+43,2.0947e+128,-1.39626e+42
0.255,-2.24613e+42,-1.20466e+127,3.33571e+42
0.265,2.64167e+42,-1.30553e+129,-4.46757e+43
0.275,2.60037e+43,-3.50821e+127,1.59135e+42
0.285,1.85627e+43,-1.42817e+128,9.25623e+42
0.295,1.16411e+45,-3.41297e+129,1.24004e+43
0.305,-3.47866e+43,-1.64891e+128,1.19096e+43
0.315,-1.16607e+45,3.42738e+129,1.238e+43
0.325,4.5199e+42,-1.61756e+129,5.45311e+43
0.335,-8.51838e+42,1.44e+127,7.1181e+41
0.345,9.45375e+42,-1.00563e+127,6.80204e+42
0.355,3.08447e+44,-2.02582e+127,6.61033e+42
0.365,-1.48979e+43,-1.78786e+126,6.55996e+42
0.375,2.72506e+43,-1.60971e+130,6.32546e+43
0.385,-1.87426e+43,-1.21661e+127,1.1036e+43
0.395,-2.7433e+44,2.74608e+127,1.11088e+43
0.405,-8.33401e+43,6.07532e+126,1.1237e+43
0.415,-4.77462e+43,5.99701e+126,1.12599e+43
0.425,1.5343e+45,-4.78366e+128,1.10655e+43
0.435,-6.53026e+43,-1.30705e+127,1.10493e+43
0.445,-1.4206e+45,5.14235e+128,1.1069e+43
0.455,7.06049e+43,-1.24399e+127,1.1015e+43
0.465,2.92817e+43,-8.23392e+127,1.13618e+43
0.475,1.71808e+43,-1.00618e+128,1.13965e+43
0.485,3.2899e+42,-2.19345e+128,2.22086e+43
0.495,6.3618e+42,-3.27509e+128,2.52004e+43
0.505,1.31105e+45,-4.2506e+128,1.27665e+43
0.515,-5.77069e+43,-1.41774e+127,1.26982e+43
0.525,-1.37495e+45,3.86339e+128,1.27525e+43
0.535,-1.08619e+43,2.15364e+127,1.66718e+43
0.545,3.10046e+42,-3.82612e+127,3.9817e+42
0.555,2.22675e+42,-1.82287e+127,3.4768e+42
0.565,1.33961e+42,-6.55748e+126,1.86423e+42
0.575,1.05655e+42,-1.00496e+126,1.09833e+42
0.585,8.3131e+42,-5.05997e+125,-1.28392e+42
0.595,2.17657e+42,4.06303e+126,-6.29962e+41
0.605,5.42946e+41,3.5241e+125,-1.98697e+42
0.615,-1.17337e+43,5.46736e+126,8.97912e+42
0.625,-2.12965e+42,-7.96315e+126,6.78034e+42
0.635,3.82873e+42,1.87825e+127,6.0586e+42
0.645,-2.90384e+41,1.28854e+128,5.08826e+43
0.655,-2.72039e+42,-1.04735e+127,5.84775e+42
0.665,1.5253e+42,1.32712e+127,3.90798e+42
0.675,4.12472e+42,2.9169e+127,3.94002e+42
0.685,-1.36431e+42,2.5395e+127,1.41859e+43
0.695,9.91254e+41,2.3526e+126,7.45517e+42
0.705,1.77449e+42,-1.96838e+126,6.52146e+42
0.715,-7.47477e+42,-8.48958e+126,7.34614e+42
0.725,-2.85122e+42,1.20876e+127,6.7719e+42
0.735,9.89886e+42,1.78532e+127,5.65277e+42
0.745,6.02162e+42,-4.5227e+126,4.49787e+42
0.755,-5.37619e+41,5.38612e+126,1.94774e+43
0.765,-7.60611e+41,4.28756e+126,1.83348e+43
0.775,-5.4844e+41,3.66916e+126,1.88701e+43
0.785,-4.14573e+41,3.71214e+126,1.97629e+43
0.795,-5.66725e+41,2.28139e+126,1.78296e+43
0.805,1.18459e+42,1.20267e+126,1.42517e+43
0.815,-2.2671e+42,5.52208e+124,1.58411e+43
0.825,-6.73406e+41,1.23621e+126,1.65785e+43
0.835,-2.71794e+42,3.56455e+126,1.78297e+43
0.845,-2.74555e+42,5.06439e+125,1.65783e+43
0.855,1.90448e+42,-3.11489e+126,1.7148e+43
0.865,-7.13581e+41,3.65421e+126,1.52104e+43
0.875,-4.38875e+43,3.19164e+126,1.72287e+43
0.885,5.01072e+43,3.03172e+125,1.71323e+43
0.895,1.20849e+44,-2.14837e+126,1.7179e+43
0.905,-5.86056e+43,-1.75295e+126,1.7192e+43
0.915,-1.71945e+44,2.11605e+124,1.71476e+43
0.925,1.88955e+43,1.26942e+126,1.7031e+43
0.935,4.42768e+43,-1.71826e+127,1.63121e+43
0.945,5.79787e+42,2.65455e+126,1.85773e+43
0.955,3.6874e+43,-2.27791e+126,1.82181e+43
0.965,4.54626e+42,3.8268e+126,1.69841e+43
0.975,-9.80509e+42,-1.83139e+126,1.71704e+43
0.985,1.80361e+42,1.66473e+126,1.72764e+43
0.995,0.125,0.1,0
1.5,0.125,0.1,0
