x,rho,p,u
0.005,4.49848e+43,-3.77885e+125,1.72751e+43
0.015,-4.98895e+40,6.36853e+124,2.82354e+42
0.025,-4.27869e+41,-6.04142e+122,1.89856e+41
0.035,1.88772e+41,5.18753e+122,1.40343e+41
0.045,6.37613e+41,-7.86102e+123,2.44783e+41
0.055,2.82579e+42,-3.15605e+125,2.54347e+41
0.065,-3.19565e+42,-3.25089e+125,8.58184e+40
0.075,-4.00567e+41,2.98178e+125,1.07718e+42
0.085,9.61538e+42,-1.63252e+125,1.4547e+41
0.095,1.35536e+42,1.33744e+125,2.64243e+41
0.105,-2.75163e+42,1.97514e+125,5.04878e+40
0.115,1.74964e+43,-6.48071e+126,1.46737e+42
0.125,-8.94044e+42,-8.74176e+125,1.13823e+42
0.135,-2.35914e+43,4.55446e+126,1.25069e+42
0.145,4.85996e+42,-4.42231e+125,1.35435e+42
0.155,-1.68856e+41,-5.05571e+123,1.82662e+42
0.165,7.57404e+41,-1.64316e+125,7.78974e+41
0.175,5.20154e+41,4.89692e+125,2.08222e+42
0.185,-5.76603e+42,7.84938e+125,8.76718e+41
0.195,1.82352e+43,1.14051e+125,1.13075e+42
0.205,5.60591e+43,-4.73148e+126,1.30042e+42
0.215,1.35629e+48,-6.47857e+136,1.80011e+44
0.225,-4.86309e+45,-1.92916e+133,1.54299e+44
0.235,-1.35631e+48,6.47864e+136,1.80008e+44
0.245,-3.91672e+43,1.97877e+128,-1.1885e+42
0.255,-2.24613e+42,-1.20466e+127,3.33571e+42
0.265,3.92521e+42,-8.78553e+128,-2.84502e+43
0.275,2.60037e+43,-3.50821e+127,1.59135e+42
0.285,1.85627e+43,-1.42817e+128,9.25623e+42
0.295,1.09314e+45,-3.21964e+129,1.24064e+43
0.305,-3.47866e+43,-1.64891e+128,1.19096e+43
0.315,-1.09509e+45,3.23401e+129,1.23847e+43
0.325,4.5199e+42,-1.61756e+129,5.45311e+43
0.335,-8.51838e+42,1.44e+127,7.1181e+41
0.345,9.45375e+42,-1.00563e+127,6.80204e+42
0.355,2.91705e+44,-1.96411e+127,6.61217e+42
0.365,-1.48979e+43,-1.78786e+126,6.55996e+42
0.375,8.55793e+42,-4.35251e+130,1.68349e+44
0.385,-1.87426e+43,-1.21661e+127,1.1036e+43
0.395,-2.38895e+44,2.56133e+127,1.11108e+43
0.405,-8.33401e+43,6.07532e+126,1.1237e+43
0.415,-4.77462e+43,5.99701e+126,1.12599e+43
0.425,1.41069e+45,-4.34714e+128,1.10653e+43
0.435,-6.53026e+43,-1.30705e+127,1.10493e+43
0.445,-1.29699e+45,4.70583e+128,1.10691e+43
0.455,7.06049e+43,-1.24399e+127,1.1015e+43
0.465,2.92817e+43,-8.23392e+127,1.13618e+43
0.475,1.71808e+43,-1.00618e+128,1.13965e+43
0.485,3.2899e+42,-2.19345e+128,2.22086e+43
0.495,6.3618e+42,-3.27509e+128,2.52004e+43
0.505,1.18552e+45,-3.87559e+128,1.27716e+43
0.515,-5.77069e+43,-1.41774e+127,1.26982e+43
0.525,-1.24941e+45,3.48805e+128,1.27561e+43
0.535,-1.08619e+43,2.15364e+127,1.66718e+43
0.545,3.10046e+42,-3.82612e+127,3.9817e+42
0.555,2.22675e+42,-1.82287e+127,3.4768e+42
0.565,1.33961e+42,-6.55748e+126,1.86423e+42
0.575,1.10546e+42,-1.05156e+126,1.05827e+42
0.585,6.51768e+42,1.59582e+125,-1.23717e+42
0.595,2.00159e+42,4.00637e+126,-5.54788e+41
0.605,5.73612e+41,-6.27065e+125,-3.08227e+42
0.615,-5.74888e+42,6.01224e+126,9.06855e+42
0.625,2.24125e+42,9.1416e+126,6.98093e+42
0.635,3.62007e+42,1.72643e+127,5.87833e+42
