x,rho,p,u
0.005,2.11211e+45,-6.98651e+130,1.93049e+43
0.015,8.68682e+44,-3.65657e+131,1.44964e+43
0.025,1.66428e+45,-4.56426e+131,2.27783e+43
0.035,-1.2798e+46,1.11085e+133,2.71515e+44
0.045,2.90304e+45,1.86795e+130,2.53921e+44
0.055,1.34946e+46,-1.34425e+132,2.54859e+44
0.065,2.23369e+46,-5.28992e+134,2.26856e+44
0.075,-1.37013e+45,-1.11382e+133,1.90328e+44
0.085,-2.33378e+46,4.22989e+134,2.43527e+44
0.095,3.02571e+45,-1.07699e+134,2.79282e+44
0.105,1.02712e+47,-1.264e+136,9.26839e+44
0.115,-2.18827e+45,-3.52955e+134,6.82802e+44
0.125,-1.02185e+47,1.27016e+136,9.24685e+44
0.135,7.95529e+49,-5.83436e+140,9.72893e+45
0.145,-1.24933e+47,-1.98028e+137,9.56272e+45
0.155,-7.9507e+49,5.838e+140,9.73253e+45
0.165,-1.90445e+46,5.77416e+135,3.83242e+45
0.175,-3.02334e+46,6.58569e+135,3.74072e+45
0.185,6.84942e+48,-7.98563e+137,4.43732e+45
0.195,-2.27839e+46,-1.84717e+135,4.42398e+45
0.205,-6.80694e+48,8.069e+137,4.44237e+45
0.215,2.79666e+48,-4.58117e+142,-1.62528e+46
0.225,-4.86309e+45,-1.92916e+133,1.54299e+44
0.235,-2.49731e+48,1.19284e+137,1.80008e+44
0.245,-2.77743e+43,3.33015e+128,-3.70383e+42
0.255,-2.24613e+42,-1.20466e+127,3.33571e+42
0.265,-7.46767e+42,4.42721e+128,2.24962e+43
0.275,2.60037e+43,-3.50821e+127,1.59135e+42
0.285,1.85627e+43,-1.42817e+128,9.25623e+42
0.295,1.72311e+45,-4.93598e+129,1.23703e+43
0.305,-3.47866e+43,-1.64891e+128,1.19096e+43
0.315,-1.72506e+45,4.95065e+129,1.23565e+43
0.325,4.5199e+42,-1.61756e+129,5.45311e+43
0.335,-8.51838e+42,1.44e+127,7.1181e+41
0.345,9.45375e+42,-1.00563e+127,6.80204e+42
0.355,4.40311e+44,-2.51286e+127,6.60072e+42
0.365,-1.48979e+43,-1.78786e+126,6.55996e+42
0.375,1.74476e+44,-6.48027e+129,2.2655e+43
0.385,-1.87426e+43,-1.21661e+127,1.1036e+43
0.395,-5.53419e+44,4.20188e+127,1.11018e+43
0.405,-8.33401e+43,6.07532e+126,1.1237e+43
0.415,-4.77462e+43,5.99701e+126,1.12599e+43
0.425,2.50786e+45,-8.22175e+128,1.10662e+43
0.435,-6.53026e+43,-1.30705e+127,1.10493e+43
0.445,-2.39417e+45,8.58043e+128,1.10683e+43
0.455,7.06049e+43,-1.24399e+127,1.1015e+43
0.465,2.92817e+43,-8.23392e+127,1.13618e+43
0.475,1.71808e+43,-1.00618e+128,1.13965e+43
0.485,3.2899e+42,-2.19345e+128,2.22086e+43
0.495,6.3618e+42,-3.27509e+128,2.52004e+43
0.505,2.29977e+45,-7.20674e+128,1.27455e+43
0.515,-5.77069e+43,-1.41774e+127,1.26982e+43
0.525,-2.36366e+45,6.82082e+128,1.27379e+43
0.535,-1.08619e+43,2.15364e+127,1.66718e+43
0.545,3.10046e+42,-3.82612e+127,3.9817e+42
0.555,8.31721e+41,-2.88333e+127,-1.71595e+42
0.565,6.71316e+42,-9.89343e+126,7.09381e+42
0.575,-1.86203e+43,-6.22178e+128,3.39454e+42
0.585,4.15562e+43,3.43064e+128,1.99883e+42
0.595,-2.93207e+44,2.58339e+128,9.83098e+42
0.605,1.15368e+44,3.20926e+127,9.09362e+42
0.615,-3.7806e+45,4.58249e+128,9.31353e+42
0.625,-9.43698e+43,4.08265e+127,1.01067e+43
0.635,-3.50862e+42,-7.60837e+126,6.83457e+42
0.645,-4.22308e+43,-1.10441e+125,7.54251e+42
0.655,-2.22197e+43,-2.12421e+125,7.36897e+42
0.665,-2.09201e+42,1.68607e+126,7.67105e+42
0.675,2.22686e+43,-1.91926e+127,7.32927e+42
0.685,-9.712e+42,-3.43034e+127,5.61289e+42
0.695,2.76023e+42,1.57552e+127,1.30818e+42
0.705,-1.30395e+44,5.32451e+127,7.41311e+42
0.715,1.36959e+43,5.73981e+125,7.25105e+42
0.725,3.40104e+44,-3.06648e+127,6.84151e+42
0.735,-2.93689e+43,-4.59406e+126,6.53475e+42
0.745,-1.9092e+44,6.47549e+127,6.51195e+42
0.755,-2.58599e+42,1.36326e+127,1.48106e+43
0.765,-7.17913e+42,-3.59698e+126,8.42348e+42
0.775,1.50652e+43,-1.01588e+127,4.84322e+42
0.785,6.08502e+42,-1.10644e+127,4.88968e+42
0.795,-6.5141e+41,5.48398e+126,1.99976e+43
0.805,-4.7383e+41,1.73417e+126,1.71735e+43
0.815,-1.05525e+41,2.47086e+127,4.81947e+43
0.825,-6.73406e+41,1.23621e+126,1.65785e+43
0.835,-8.70553e+42,3.14526e+126,1.75015e+43
0.845,1.05056e+45,-1.54799e+128,1.71513e+43
0.855,-6.54451e+43,-1.07318e+127,1.714e+43
0.865,-9.86702e+44,1.5763e+128,1.71496e+43
0.875,8.42982e+45,-9.07941e+128,1.71518e+43
0.885,-5.08273e+44,-4.8922e+126,1.71509e+43
0.895,-8.77276e+45,9.00362e+128,1.71514e+43
0.905,4.20364e+44,-5.39927e+128,1.71433e+43
0.915,3.60086e+44,-8.20239e+128,1.68568e+43
0.925,-2.47016e+43,-2.00708e+129,8.99074e+42
0.935,-1.33431e+44,5.80191e+128,1.46754e+43
0.945,1.75252e+43,6.53405e+128,5.67667e+42
0.955,-1.80517e+44,1.19869e+129,2.74105e+43
0.965,1.58316e+43,2.09991e+128,2.13739e+43
0.975,-1.75184e+44,4.55525e+128,1.7755e+43
0.985,3.5033e+43,1.57137e+128,1.99119e+43
0.995,0.125,0.1,0
1.5,0.125,0.1,0
