x,rho,p,u
0.005,1.9977e+45,-7.56861e+130,1.92866e+43
0.015,8.68682e+44,-3.65657e+131,1.44964e+43
0.025,1.66428e+45,-4.56426e+131,2.27783e+43
0.035,-3.88747e+45,1.3216e+133,3.11785e+44
0.045,2.90304e+45,1.86795e+130,2.53921e+44
0.055,4.5841e+45,-1.64522e+132,2.56632e+44
0.065,1.91847e+46,-4.69457e+134,2.2584e+44
0.075,-1.37013e+45,-1.11382e+133,1.90328e+44
0.085,-2.01856e+46,3.63506e+134,2.45165e+44
0.095,3.02571e+45,-1.07699e+134,2.79282e+44
0.105,8.46508e+46,-1.04521e+136,9.28506e+44
0.115,-2.18827e+45,-3.52955e+134,6.82802e+44
0.125,-8.41234e+46,1.05136e+136,9.25899e+44
0.135,6.51116e+49,-4.77468e+140,9.72904e+45
0.145,-1.24933e+47,-1.98028e+137,9.56272e+45
0.155,-6.50656e+49,4.77833e+140,9.73343e+45
0.165,-1.90445e+46,5.77416e+135,3.83242e+45
0.175,-3.02334e+46,6.58569e+135,3.74072e+45
0.185,5.63102e+48,-6.54266e+137,4.43624e+45
0.195,-2.27839e+46,-1.84717e+135,4.42398e+45
0.205,-5.58854e+48,6.62595e+137,4.44239e+45
0.215,2.78759e+48,-4.58122e+142,-1.63063e+46
0.225,-4.86309e+45,-1.92916e+133,1.54299e+44
0.235,-2.48824e+48,1.18851e+137,1.80008e+44
0.245,-2.78649e+43,3.31551e+128,-3.67572e+42
0.255,-2.24613e+42,-1.20466e+127,3.33571e+42
0.265,-7.37711e+42,4.48484e+128,2.27117e+43
0.275,2.60037e+43,-3.50821e+127,1.59135e+42
0.285,1.85627e+43,-1.42817e+128,9.25623e+42
0.295,1.7181e+45,-4.92234e+129,1.23705e+43
0.305,-3.47866e+43,-1.64891e+128,1.19096e+43
0.315,-1.72006e+45,4.93701e+129,1.23567e+43
0.325,4.5199e+42,-1.61756e+129,5.45311e+43
0.335,-8.51838e+42,1.44e+127,7.1181e+41
0.345,9.45375e+42,-1.00563e+127,6.80204e+42
0.355,4.39129e+44,-2.50849e+127,6.60078e+42
0.365,-1.48979e+43,-1.78786e+126,6.55996e+42
0.375,1.73157e+44,-6.48605e+129,2.27122e+43
0.385,-1.87426e+43,-1.21661e+127,1.1036e+43
0.395,-5.50919e+44,4.18884e+127,1.11018e+43
0.405,-8.33401e+43,6.07532e+126,1.1237e+43
0.415,-4.77462e+43,5.99701e+126,1.12599e+43
0.425,2.49914e+45,-8.19095e+128,1.10662e+43
0.435,-6.53026e+43,-1.30705e+127,1.10493e+43
0.445,-2.38544e+45,8.54963e+128,1.10683e+43
0.455,7.06049e+43,-1.24399e+127,1.1015e+43
0.465,2.92817e+43,-8.23392e+127,1.13618e+43
0.475,1.71808e+43,-1.00618e+128,1.13965e+43
0.485,3.2899e+42,-2.19345e+128,2.22086e+43
0.495,6.3618e+42,-3.27509e+128,2.52004e+43
0.505,2.29091e+45,-7.18025e+128,1.27456e+43
0.515,-5.77069e+43,-1.41774e+127,1.26982e+43
0.525,-2.35481e+45,6.79432e+128,1.2738e+43
0.535,-1.08619e+43,2.15364e+127,1.66718e+43
0.545,3.10046e+42,-3.82612e+127,3.9817e+42
0.555,9.65991e+41,-2.70697e+127,-5.13541e+41
0.565,5.57449e+42,2.97879e+126,6.85971e+42
0.575,-1.64009e+43,-5.37776e+128,3.48774e+42
0.585,4.36773e+43,3.30149e+128,2.13316e+42
0.595,-2.79016e+44,2.7864e+128,9.83843e+42
0.605,1.15368e+44,3.20926e+127,9.09362e+42
0.615,-3.79328e+45,4.38142e+128,9.3129e+42
0.625,-9.47913e+43,3.99433e+127,1.00941e+43
0.635,-5.41634e+42,-7.72795e+126,7.08351e+42
0.645,-4.3657e+43,9.78201e+124,7.53743e+42
0.655,-2.0312e+43,-2.03908e+125,7.35278e+42
0.665,-2.444e+41,1.98567e+126,1.00351e+43
0.675,2.16125e+43,-1.91017e+127,7.36213e+42
0.685,-9.59002e+42,-3.33295e+127,5.63486e+42
0.695,3.46884e+42,1.85962e+127,2.26116e+42
0.705,-1.28506e+44,5.8644e+127,7.41306e+42
0.715,1.36959e+43,5.73981e+125,7.25105e+42
0.725,3.36583e+44,-3.03767e+127,6.84198e+42
0.735,-2.93689e+43,-4.59406e+126,6.53475e+42
0.745,-1.886e+44,6.4321e+127,6.51138e+42
0.755,-3.31699e+42,8.97452e+126,1.34162e+43
0.765,-7.17913e+42,-3.59698e+126,8.42348e+42
0.775,1.57962e+43,-8.21729e+126,5.01165e+42
0.785,6.08502e+42,-1.10644e+127,4.88968e+42
0.795,-6.5141e+41,5.48398e+126,1.99976e+43
0.805,-4.7383e+41,1.73417e+126,1.71735e+43
0.815,-1.05525e+41,2.47086e+127,4.81947e+43
0.825,-6.73406e+41,1.23621e+126,1.65785e+43
0.835,-8.70553e+42,3.14526e+126,1.75015e+43
0.845,1.037e+45,-1.52737e+128,1.71513e+43
0.855,-6.54451e+43,-1.07318e+127,1.714e+43
0.865,-9.73142e+44,1.55568e+128,1.71496e+43
0.875,8.32444e+45,-8.96527e+128,1.71518e+43
0.885,-5.08273e+44,-4.8922e+126,1.71509e+43
0.895,-8.66739e+45,8.88947e+128,1.71514e+43
0.905,4.20364e+44,-5.39927e+128,1.71433e+43
0.915,3.562e+44,-8.27945e+128,1.68566e+43
0.925,-2.47016e+43,-2.00708e+129,8.99074e+42
0.935,-1.30055e+44,5.5905e+128,1.46705e+43
0.945,1.75252e+43,6.53405e+128,5.67667e+42
0.955,-1.74458e+44,1.22467e+129,2.74166e+43
0.965,1.58316e+43,2.09991e+128,2.13739e+43
0.975,-1.70842e+44,4.51315e+128,1.77389e+43
0.985,3.5033e+43,1.57137e+128,1.99119e+43
0.995,0.125,0.1,0
1.5,0.125,0.1,0
