x,rho,p,u
0.005,-7.45259e+41,-4.44944e+123,4.15379e+41
0.015,2.96023e+41,-2.47182e+122,1.4463e+41
0.025,-3.42761e+41,-3.84569e+122,1.94743e+41
0.035,3.4036e+41,5.31914e+122,1.66338e+41
0.045,5.52506e+41,-8.18171e+123,2.56276e+41
0.055,1.13812e+42,-8.88191e+124,4.92286e+40
0.065,-2.52764e+42,-1.44171e+125,1.30761e+41
0.075,2.50707e+42,2.44106e+124,8.44589e+40
0.085,8.29702e+42,5.30796e+124,1.81937e+41
0.095,-1.30754e+41,7.79125e+124,-5.49051e+41
0.105,-3.98719e+42,7.67108e+124,1.67436e+41
0.115,-2.7332e+42,1.19409e+125,-3.95261e+41
0.125,-7.50993e+42,-5.72949e+125,1.01352e+42
0.135,4.92483e+42,1.55093e+125,1.5723e+42
0.145,4.89741e+42,4.81476e+124,1.44775e+42
0.155,-6.69742e+42,1.22623e+125,1.44749e+42
0.165,1.83255e+41,-4.15482e+124,-5.35363e+41
0.175,8.39527e+40,-8.09223e+124,-1.64736e+42
0.185,1.33891e+42,-1.8825e+124,1.2096e+42
0.195,1.69122e+43,-1.65762e+125,1.09653e+42
0.205,4.35789e+43,-5.72883e+126,1.31494e+42
0.215,-1.12355e+43,-2.09703e+127,2.08358e+41
0.225,-3.30346e+42,5.91893e+130,2.95302e+44
0.235,-1.58384e+43,-2.36773e+126,1.24126e+42
0.245,-5.00176e+43,9.43907e+127,4.50229e+41
0.255,-2.24613e+42,-1.20466e+127,3.33571e+42
0.265,1.90835e+43,-1.64138e+128,-1.92509e+42
0.275,2.60037e+43,-3.50821e+127,1.59135e+42
0.285,1.85627e+43,-1.42817e+128,9.25623e+42
0.295,2.54957e+44,-9.42022e+128,1.27312e+43
0.305,-3.47866e+43,-1.64891e+128,1.19096e+43
0.315,-2.56914e+44,9.53611e+128,1.2636e+43
0.325,4.5199e+42,-1.61756e+129,5.45311e+43
0.335,-8.51838e+42,1.44e+127,7.1181e+41
0.345,9.45375e+42,-1.00563e+127,6.80204e+42
0.355,9.39836e+43,-1.2451e+127,6.68352e+42
0.365,-1.48979e+43,-1.78786e+126,6.55996e+42
0.375,-1.01914e+44,4.24458e+126,6.70167e+42
0.385,-1.88652e+41,1.3883e+128,6.67899e+43
0.395,-7.69262e+41,2.63643e+127,1.95493e+43
0.405,-1.26594e+42,1.1889e+127,1.40469e+43
0.415,-4.88077e+42,3.86321e+126,1.18238e+43
0.425,-4.16255e+42,-3.12324e+125,1.10512e+43
0.435,1.12276e+43,8.29187e+126,1.11041e+43
0.445,1.16656e+43,-4.74177e+126,1.11017e+43
0.455,-1.04031e+43,-2.41749e+127,9.98433e+42
0.465,-1.90532e+43,-3.8123e+127,1.08647e+43
0.475,-4.56126e+42,2.63933e+127,1.59788e+43
0.485,1.33436e+43,8.55213e+127,8.29446e+42
0.495,1.63109e+43,9.50279e+127,8.93732e+42
0.505,8.73275e+42,2.77209e+127,8.65467e+42
