x,rho,p,u
0.005,-1.73327e+42,-3.35381e+128,-2.66312e+41
0.015,5.61902e+43,-2.56657e+125,1.70452e+43
0.025,-9.72768e+43,7.10424e+128,1.81466e+43
0.035,6.56332e+43,3.12255e+126,1.72664e+43
0.045,5.92062e+44,-1.7136e+128,1.75039e+43
0.055,-2.43881e+43,-3.77729e+127,1.79634e+43
0.065,-7.31735e+43,1.00663e+128,1.8525e+43
0.075,2.83717e+43,-2.95674e+128,2.03679e+43
0.085,2.7343e+40,-5.21135e+129,-9.61889e+44
0.095,1.11117e+43,1.43522e+128,4.29483e+42
0.105,3.90165e+40,-2.48433e+130,1.79285e+45
0.115,2.17937e+43,-6.96826e+127,1.49922e+42
0.125,3.87893e+42,1.54397e+128,1.3058e+43
0.135,-2.50482e+43,2.7167e+128,-6.79533e+41
0.145,5.04112e+42,-4.30846e+125,1.37191e+42
0.155,-1.68856e+41,-5.05571e+123,1.82662e+42
0.165,-5.99079e+40,4.73069e+126,2.26366e+43
0.175,5.20154e+41,4.89692e+125,2.08222e+42
0.185,-1.72408e+43,8.81152e+125,9.97886e+41
0.195,1.82352e+43,1.14051e+125,1.13075e+42
0.205,6.81701e+43,-4.14382e+126,1.27126e+42
0.215,1.79702e+48,-8.58365e+136,1.80011e+44
0.225,-4.86309e+45,-1.92916e+133,1.54299e+44
0.235,-1.79704e+48,8.58372e+136,1.80008e+44
0.245,-3.47665e+43,2.40691e+128,-1.96469e+42
0.255,-2.24613e+42,-1.20466e+127,3.33571e+42
0.265,-4.7551e+41,7.21784e+129,2.806e+44
0.275,2.60037e+43,-3.50821e+127,1.59135e+42
0.285,1.85627e+43,-1.42817e+128,9.25623e+42
0.295,1.33648e+45,-3.88253e+129,1.23884e+43
0.305,-3.47866e+43,-1.64891e+128,1.19096e+43
0.315,-1.33843e+45,3.89704e+129,1.23707e+43
0.325,4.5199e+42,-1.61756e+129,5.45311e+43
0.335,-8.51838e+42,1.44e+127,7.1181e+41
0.345,9.45375e+42,-1.00563e+127,6.80204e+42
0.355,3.49107e+44,-2.17585e+127,6.60659e+42
0.365,-1.48979e+43,-1.78786e+126,6.55996e+42
0.375,7.26471e+43,-8.53035e+129,3.31884e+43
0.385,-1.87426e+43,-1.21661e+127,1.1036e+43
