x,rho,p,u
0.005,2.91467e+44,-3.22032e+128,1.72057e+43
0.015,2.67044e+44,7.26608e+127,1.71788e+43
0.025,-2.53555e+44,1.12158e+129,1.76909e+43
0.035,6.56332e+43,3.12255e+126,1.72664e+43
0.045,1.18538e+45,-9.9299e+127,1.74953e+43
0.055,-2.43881e+43,-3.77729e+127,1.79634e+43
0.065,-2.38592e+44,8.40287e+127,1.81954e+43
0.075,4.38662e+43,-5.26504e+127,1.94698e+43
0.085,-2.89806e+42,-8.57233e+127,1.55798e+43
0.095,-4.48714e+42,1.3015e+129,5.09863e+43
0.105,3.0659e+42,-2.35627e+128,3.03826e+43
0.115,2.66862e+42,-7.24633e+129,-1.03184e+44
0.125,3.87893e+42,1.54397e+128,1.3058e+43
0.135,-5.9231e+42,5.34099e+129,-5.4879e+43
0.145,5.15758e+42,-4.23837e+125,1.38255e+42
0.155,-1.68856e+41,-5.05571e+123,1.82662e+42
0.165,-5.85322e+41,5.45819e+124,4.45427e+42
0.175,5.20154e+41,4.89692e+125,2.08222e+42
0.185,-2.46174e+43,9.55526e+125,1.01613e+42
0.195,1.82352e+43,1.14051e+125,1.13075e+42
0.205,7.59557e+43,-3.77508e+126,1.25742e+42
0.215,2.08035e+48,-9.93691e+136,1.8001e+44
0.225,-4.86309e+45,-1.92916e+133,1.54299e+44
0.235,-2.08037e+48,9.93698e+136,1.80008e+44
0.245,-3.19375e+43,2.73639e+128,-2.57662e+42
0.255,-2.24613e+42,-1.20466e+127,3.33571e+42
0.265,-3.30455e+42,1.02766e+129,4.46094e+43
0.275,2.60037e+43,-3.50821e+127,1.59135e+42
0.285,1.85627e+43,-1.42817e+128,9.25623e+42
0.295,1.49291e+45,-4.30873e+129,1.238e+43
0.305,-3.47866e+43,-1.64891e+128,1.19096e+43
0.315,-1.49486e+45,4.32332e+129,1.23641e+43
0.325,4.5199e+42,-1.61756e+129,5.45311e+43
0.335,-8.51838e+42,1.44e+127,7.1181e+41
0.345,9.45375e+42,-1.00563e+127,6.80204e+42
0.355,3.86008e+44,-2.31214e+127,6.60388e+42
0.365,-1.48979e+43,-1.78786e+126,6.55996e+42
0.375,1.13847e+44,-7.10573e+129,2.66569e+43
0.385,-1.87426e+43,-1.21661e+127,1.1036e+43
0.395,-4.38487e+44,3.60229e+127,1.11036e+43
0.405,-8.33401e+43,6.07532e+126,1.1237e+43
0.415,-4.77462e+43,5.99701e+126,1.12599e+43
0.425,2.10694e+45,-6.80591e+128,1.1066e+43
0.435,-6.53026e+43,-1.30705e+127,1.10493e+43
0.445,-1.99324e+45,7.16459e+128,1.10685e+43
0.455,7.06049e+43,-1.24399e+127,1.1015e+43
0.465,2.92817e+43,-8.23392e+127,1.13618e+43
0.475,1.71808e+43,-1.00618e+128,1.13965e+43
0.485,3.2899e+42,-2.19345e+128,2.22086e+43
0.495,6.3618e+42,-3.27509e+128,2.52004e+43
0.505,1.8926e+45,-5.98903e+128,1.27515e+43
0.515,-5.77069e+43,-1.41774e+127,1.26982e+43
0.525,-1.9565e+45,5.60275e+128,1.27422e+43
0.535,-1.08619e+43,2.15364e+127,1.66718e+43
0.545,3.10046e+42,-3.82612e+127,3.9817e+42
0.555,2.22675e+42,-1.82287e+127,3.4768e+42
0.565,1.33961e+42,-6.55748e+126,1.86423e+42
0.575,1.05655e+42,-1.00496e+126,1.09833e+42
0.585,2.45414e+43,-4.6087e+124,-1.30008e+42
0.595,6.54585e+42,3.52139e+126,-1.44243e+42
0.605,1.04626e+42,2.70134e+126,-2.08071e+41
