x,rho,p,u
0.005,2.07283e+45,-7.18767e+130,1.92988e+43
0.015,8.68682e+44,-3.65657e+131,1.44964e+43
0.025,1.66428e+45,-4.56426e+131,2.27783e+43
0.035,-9.75665e+45,1.1456e+133,2.76992e+44
0.045,2.90304e+45,1.86795e+130,2.53921e+44
0.055,1.04533e+46,-1.44614e+132,2.55124e+44
0.065,2.1261e+46,-5.08671e+134,2.26544e+44
0.075,-1.37013e+45,-1.11382e+133,1.90328e+44
0.085,-2.22619e+46,4.02684e+134,2.44034e+44
0.095,3.02571e+45,-1.07699e+134,2.79282e+44
0.105,9.65474e+46,-1.18932e+136,9.27338e+44
0.115,-2.18827e+45,-3.52955e+134,6.82802e+44
0.125,-9.602e+46,1.19548e+136,9.25048e+44
0.135,7.46239e+49,-5.47267e+140,9.72896e+45
0.145,-1.24933e+47,-1.98028e+137,9.56272e+45
0.155,-7.45779e+49,5.47632e+140,9.73279e+45
0.165,-1.90445e+46,5.77416e+135,3.83242e+45
0.175,-3.02334e+46,6.58569e+135,3.74072e+45
0.185,6.43356e+48,-7.49312e+137,4.437e+45
0.195,-2.27839e+46,-1.84717e+135,4.42398e+45
0.205,-6.39108e+48,7.57646e+137,4.44238e+45
0.215,2.79357e+48,-4.58119e+142,-1.6271e+46
0.225,-4.86309e+45,-1.92916e+133,1.54299e+44
0.235,-2.49421e+48,1.19136e+137,1.80008e+44
0.245,-2.78053e+43,3.32515e+128,-3.69422e+42
0.255,-2.24613e+42,-1.20466e+127,3.33571e+42
0.265,-7.43676e+42,4.44673e+128,2.25692e+43
0.275,2.60037e+43,-3.50821e+127,1.59135e+42
0.285,1.85627e+43,-1.42817e+128,9.25623e+42
0.295,1.7214e+45,-4.93133e+129,1.23704e+43
0.305,-3.47866e+43,-1.64891e+128,1.19096e+43
0.315,-1.72336e+45,4.946e+129,1.23566e+43
0.325,4.5199e+42,-1.61756e+129,5.45311e+43
0.335,-8.51838e+42,1.44e+127,7.1181e+41
0.345,9.45375e+42,-1.00563e+127,6.80204e+42
0.355,4.39907e+44,-2.51137e+127,6.60074e+42
0.365,-1.48979e+43,-1.78786e+126,6.55996e+42
0.375,1.74026e+44,-6.48222e+129,2.26744e+43
0.385,-1.87426e+43,-1.21661e+127,1.1036e+43
0.395,-5.52566e+44,4.19743e+127,1.11018e+43
0.405,-8.33401e+43,6.07532e+126,1.1237e+43
0.415,-4.77462e+43,5.99701e+126,1.12599e+43
0.425,2.50488e+45,-8.21123e+128,1.10662e+43
0.435,-6.53026e+43,-1.30705e+127,1.10493e+43
0.445,-2.39119e+45,8.56992e+128,1.10683e+43
0.455,7.06049e+43,-1.24399e+127,1.1015e+43
0.465,2.92817e+43,-8.23392e+127,1.13618e+43
0.475,1.71808e+43,-1.00618e+128,1.13965e+43
0.485,3.2899e+42,-2.19345e+128,2.22086e+43
0.495,6.3618e+42,-3.27509e+128,2.52004e+43
0.505,2.29674e+45,-7.1977e+128,1.27455e+43
0.515,-5.77069e+43,-1.41774e+127,1.26982e+43
0.525,-2.36064e+45,6.81178e+128,1.27379e+43
0.535,-1.08619e+43,2.15364e+127,1.66718e+43
0.545,3.10046e+42,-3.82612e+127,3.9817e+42
0.555,8.31721e+41,-2.88333e+127,-1.71595e+42
0.565,6.30752e+42,-4.75241e+126,7.02009e+42
0.575,-1.77862e+43,-5.90266e+128,3.42477e+42
0.585,4.22961e+43,3.38122e+128,2.04785e+42
0.595,-2.88282e+44,2.66765e+128,9.83359e+42
0.605,1.15368e+44,3.20926e+127,9.09362e+42
0.615,-3.78493e+45,4.51386e+128,9.31331e+42
0.625,-9.44896e+43,4.05489e+127,1.0103e+43
0.635,-4.83131e+42,-7.70092e+126,7.02819e+42
0.645,-4.27656e+43,-3.11451e+124,7.54072e+42
0.655,-2.0897e+43,-2.07565e+125,7.35803e+42
0.665,-1.43737e+42,1.70028e+126,7.81048e+42
