x,rho,p,u
0.005,4.01896e+43,-4.78198e+126,1.73001e+43
0.015,-5.15924e+40,6.14145e+124,2.73685e+42
0.025,-4.27309e+41,-6.0234e+122,1.89895e+41
0.035,1.90475e+41,5.19107e+122,1.40853e+41
0.045,6.37053e+41,-7.86353e+123,2.44858e+41
0.055,2.80549e+42,-3.13573e+125,2.52882e+41
0.065,-3.19565e+42,-3.25089e+125,8.58184e+40
0.075,-3.83035e+41,2.95639e+125,1.1126e+42
0.085,9.61013e+42,-1.62802e+125,1.4578e+41
0.095,1.35536e+42,1.33744e+125,2.64243e+41
0.105,-2.76556e+42,1.96308e+125,5.2272e+40
0.115,1.72829e+43,-6.42989e+126,1.47037e+42
0.125,-8.94044e+42,-8.74176e+125,1.13823e+42
0.135,-2.33779e+43,4.50112e+126,1.25093e+42
0.145,4.85349e+42,-4.42649e+125,1.3537e+42
0.155,-1.68856e+41,-5.05571e+123,1.82662e+42
0.165,7.86593e+41,-1.35255e+125,8.38428e+41
0.175,5.20154e+41,4.89692e+125,2.08222e+42
0.185,-5.35621e+42,7.83518e+125,8.62789e+41
0.195,1.82352e+43,1.14051e+125,1.13075e+42
0.205,5.56266e+43,-4.7529e+126,1.3017e+42
0.215,1.34055e+48,-6.40338e+136,1.80011e+44
0.225,-4.86309e+45,-1.92916e+133,1.54299e+44
0.235,-1.34057e+48,6.40346e+136,1.80008e+44
0.245,-3.93244e+43,1.96503e+128,-1.16399e+42
0.255,-2.24613e+42,-1.20466e+127,3.33571e+42
0.265,4.08238e+42,-8.44652e+128,-2.71646e+43
0.275,2.60037e+43,-3.50821e+127,1.59135e+42
0.285,1.85627e+43,-1.42817e+128,9.25623e+42
0.295,1.08445e+45,-3.19597e+129,1.24072e+43
0.305,-3.47866e+43,-1.64891e+128,1.19096e+43
0.315,-1.0864e+45,3.21033e+129,1.23853e+43
0.325,4.5199e+42,-1.61756e+129,5.45311e+43
0.335,-8.51838e+42,1.44e+127,7.1181e+41
0.345,9.45375e+42,-1.00563e+127,6.80204e+42
0.355,2.89655e+44,-1.95656e+127,6.61241e+42
0.365,-1.48979e+43,-1.78786e+126,6.55996e+42
0.375,6.26903e+42,-5.81778e+130,2.24287e+44
0.385,-1.87426e+43,-1.21661e+127,1.1036e+43
0.395,-2.34556e+44,2.53871e+127,1.11111e+43
0.405,-8.33401e+43,6.07532e+126,1.1237e+43
0.415,-4.77462e+43,5.99701e+126,1.12599e+43
0.425,1.39555e+45,-4.29369e+128,1.10653e+43
0.435,-6.53026e+43,-1.30705e+127,1.10493e+43
0.445,-1.28186e+45,4.65237e+128,1.10691e+43
0.455,7.06049e+43,-1.24399e+127,1.1015e+43
0.465,2.92817e+43,-8.23392e+127,1.13618e+43
0.475,1.71808e+43,-1.00618e+128,1.13965e+43
0.485,3.2899e+42,-2.19345e+128,2.22086e+43
0.495,6.3618e+42,-3.27509e+128,2.52004e+43
0.505,1.17015e+45,-3.82968e+128,1.27724e+43
0.515,-5.77069e+43,-1.41774e+127,1.26982e+43
0.525,-1.23404e+45,3.4421e+128,1.27565e+43
0.535,-1.08619e+43,2.15364e+127,1.66718e+43
0.545,3.10046e+42,-3.82612e+127,3.9817e+42
0.555,2.22675e+42,-1.82287e+127,3.4768e+42
0.565,1.33961e+42,-6.55748e+126,1.86423e+42
0.575,1.13004e+42,-1.07559e+126,1.03824e+42
0.585,6.3304e+42,2.4706e+125,-1.22992e+42
0.595,2.00369e+42,4.03344e+126,-5.68615e+41
0.605,5.84959e+41,-7.91361e+125,-3.21846e+42
0.615,-5.38644e+42,7.26539e+126,9.17196e+42
0.625,2.65493e+42,1.07688e+127,6.92415e+42
0.635,3.25762e+42,1.59736e+127,5.69437e+42
0.645,-6.26957e+42,1.15549e+126,8.69536e+42
0.655,6.95266e+41,6.78913e+126,7.88703e+42
0.665,4.10194e+42,2.31345e+127,4.95405e+42
0.675,7.23753e+41,-1.21831e+127,-7.99348e+42
0.685,-1.91104e+42,5.03251e+126,9.95986e+42
0.695,-2.2806e+42,8.23533e+125,8.435e+42
0.705,-2.63761e+42,-1.58747e+125,7.75975e+42
0.715,2.48883e+42,1.89971e+127,7.18516e+42
0.725,7.87918e+42,2.23509e+127,6.07497e+42
0.735,3.47701e+42,-1.27772e+127,3.29503e+42
0.745,-4.96055e+41,6.24044e+126,1.99217e+43
0.755,-5.37619e+41,5.38612e+126,1.94774e+43
0.765,-7.60611e+41,4.28756e+126,1.83348e+43
0.775,-5.4844e+41,3.66916e+126,1.88701e+43
0.785,-4.14573e+41,3.71214e+126,1.97629e+43
0.795,-3.64156e+41,3.65798e+126,2.02742e+43
0.805,-5.15e+41,2.8067e+126,1.90628e+43
0.815,-2.02492e+39,1.46336e+128,6.13415e+44
0.825,4.2678e+41,5.36316e+125,1.31392e+43
0.835,-5.18558e+42,-1.11771e+125,1.65561e+43
0.845,-1.51647e+42,5.46983e+125,1.67013e+43
0.855,2.21082e+42,1.14639e+125,1.6293e+43
0.865,-1.8486e+41,1.23661e+127,2.9854e+43
0.875,5.2281e+41,-1.79017e+126,1.46731e+43
0.885,-5.7885e+41,-1.6002e+126,1.3486e+43
0.895,-5.66691e+43,7.67354e+125,1.72133e+43
0.905,1.95626e+42,-5.26596e+125,1.68664e+43
0.915,1.81791e+43,1.86205e+126,1.71419e+43
0.925,9.18889e+42,-1.85836e+124,1.68314e+43
0.935,7.50727e+42,6.99315e+125,1.72016e+43
0.945,4.47024e+42,1.86817e+126,1.90093e+43
0.955,2.14309e+43,-6.64887e+126,1.75841e+43
0.965,6.75705e+42,3.94494e+126,1.716e+43
0.975,5.90113e+42,-4.14862e+125,1.71323e+43
0.985,-4.65125e+41,1.87014e+126,1.8551e+43
0.995,0.125,0.1,0
1.5,0.125,0.1,0
