x,rho,p,u
0.005,1.55703e+44,-2.68724e+128,1.7324e+43
0.015,5.62263e+43,-8.3659e+126,1.70501e+43
0.025,-2.55758e+44,6.85155e+128,1.76029e+43
0.035,6.56332e+43,3.12255e+126,1.72664e+43
0.045,8.11809e+44,-1.44668e+128,1.74993e+43
0.055,-2.43881e+43,-3.77729e+127,1.79634e+43
0.065,-1.3444e+44,9.38445e+127,1.83084e+43
0.075,3.3132e+43,-2.23067e+128,2.0115e+43
0.085,-2.89806e+42,-8.57233e+127,1.55798e+43
0.095,6.24709e+42,-2.70721e+128,-6.58958e+42
0.105,3.0659e+42,-2.35627e+128,3.03826e+43
0.115,1.47103e+43,-7.07004e+128,-5.53439e+42
0.125,3.87893e+42,1.54397e+128,1.3058e+43
0.135,-1.79648e+43,1.01773e+129,-7.298e+42
0.145,5.08426e+42,-4.28223e+125,1.37591e+42
0.155,-1.68856e+41,-5.05571e+123,1.82662e+42
0.165,-2.54506e+41,8.74413e+125,7.14904e+42
0.175,5.20154e+41,4.89692e+125,2.08222e+42
0.185,-1.99729e+43,9.08368e+125,1.00621e+42
0.195,1.82352e+43,1.14051e+125,1.13075e+42
0.205,7.10536e+43,-4.0066e+126,1.26578e+42
0.215,1.90196e+48,-9.08486e+136,1.80011e+44
0.225,-4.86309e+45,-1.92916e+133,1.54299e+44
0.235,-1.90198e+48,9.08493e+136,1.80008e+44
0.245,-3.37187e+43,2.52319e+128,-2.17936e+42
0.255,-2.24613e+42,-1.20466e+127,3.33571e+42
0.265,-1.5233e+42,2.24584e+129,9.0992e+43
0.275,2.60037e+43,-3.50821e+127,1.59135e+42
0.285,1.85627e+43,-1.42817e+128,9.25623e+42
0.295,1.39441e+45,-4.04038e+129,1.23851e+43
0.305,-3.47866e+43,-1.64891e+128,1.19096e+43
0.315,-1.39637e+45,4.05492e+129,1.23681e+43
0.325,4.5199e+42,-1.61756e+129,5.45311e+43
0.335,-8.51838e+42,1.44e+127,7.1181e+41
0.345,9.45375e+42,-1.00563e+127,6.80204e+42
0.355,3.62774e+44,-2.22631e+127,6.60552e+42
0.365,-1.48979e+43,-1.78786e+126,6.55996e+42
0.375,8.79064e+43,-7.81552e+129,3.00555e+43
0.385,-1.87426e+43,-1.21661e+127,1.1036e+43
0.395,-3.89312e+44,3.34577e+127,1.11047e+43
0.405,-8.33401e+43,6.07532e+126,1.1237e+43
0.415,-4.77462e+43,5.99701e+126,1.12599e+43
0.425,1.9354e+45,-6.20012e+128,1.10659e+43
0.435,-6.53026e+43,-1.30705e+127,1.10493e+43
0.445,-1.8217e+45,6.55881e+128,1.10686e+43
0.455,7.06049e+43,-1.24399e+127,1.1015e+43
0.465,2.92817e+43,-8.23392e+127,1.13618e+43
0.475,1.71808e+43,-1.00618e+128,1.13965e+43
0.485,3.2899e+42,-2.19345e+128,2.22086e+43
0.495,6.3618e+42,-3.27509e+128,2.52004e+43
0.505,1.71839e+45,-5.46813e+128,1.27549e+43
0.515,-5.77069e+43,-1.41774e+127,1.26982e+43
0.525,-1.78229e+45,5.08164e+128,1.27446e+43
0.535,-1.08619e+43,2.15364e+127,1.66718e+43
