x,rho,p,u
0.005,-7.45232e+41,-4.44852e+123,4.15394e+41
0.015,-3.96923e+40,6.49911e+124,3.15653e+42
0.025,-4.08927e+41,-5.47707e+122,1.9107e+41
0.035,2.37016e+41,5.24914e+122,1.52013e+41
0.045,6.18672e+41,-7.94044e+123,2.47267e+41
0.055,2.24147e+42,-2.43283e+125,2.06225e+41
0.065,-3.19565e+42,-3.25089e+125,8.58184e+40
0.075,1.07024e+41,-3.43921e+124,-2.06681e+42
0.085,9.47068e+42,-1.48097e+125,1.54414e+41
0.095,1.35536e+42,1.33744e+125,2.64243e+41
0.105,-3.1572e+42,1.62292e+125,9.61422e+40
0.115,1.13414e+43,-5.05423e+126,1.59937e+42
0.125,-8.94044e+42,-8.74176e+125,1.13823e+42
0.135,-1.74364e+43,3.01679e+126,1.26006e+42
0.145,4.94735e+42,-4.17662e+125,1.35645e+42
0.155,6.32414e+41,1.93687e+125,1.60879e+42
0.165,1.28432e+42,5.48673e+125,1.73914e+42
0.175,4.67735e+41,4.54815e+125,2.29467e+42
0.185,1.67529e+42,1.85424e+125,1.37817e+42
0.195,1.74863e+43,-1.30142e+125,1.10391e+42
0.205,4.80035e+43,-5.09458e+126,1.32832e+42
0.215,9.02437e+47,-4.31083e+136,1.80013e+44
0.225,-4.86309e+45,-1.92916e+133,1.54299e+44
0.235,-9.02456e+47,4.31091e+136,1.80008e+44
0.245,-4.36989e+43,1.61638e+128,-5.5259e+41
0.255,-2.24613e+42,-1.20466e+127,3.33571e+42
0.265,8.45691e+42,-4.03751e+128,-1.05559e+43
0.275,2.60037e+43,-3.50821e+127,1.59135e+42
0.285,1.85627e+43,-1.42817e+128,9.25623e+42
0.295,8.42556e+44,-2.53727e+129,1.24358e+43
0.305,-3.47866e+43,-1.64891e+128,1.19096e+43
0.315,-8.44512e+44,2.55138e+129,1.24075e+43
0.325,4.5199e+42,-1.61756e+129,5.45311e+43
0.335,-8.51838e+42,1.44e+127,7.1181e+41
0.345,9.45375e+42,-1.00563e+127,6.80204e+42
0.355,2.32594e+44,-1.74664e+127,6.62079e+42
0.365,-1.48979e+43,-1.78786e+126,6.55996e+42
0.375,-5.74387e+43,3.09796e+129,-7.68669e+42
0.385,-1.87426e+43,-1.21661e+127,1.1036e+43
0.395,-1.13788e+44,1.90984e+127,1.11284e+43
0.405,-8.33401e+43,6.07532e+126,1.1237e+43
0.415,-4.77462e+43,5.99701e+126,1.12599e+43
0.425,9.74268e+44,-2.80596e+128,1.10644e+43
0.435,-6.53026e+43,-1.30705e+127,1.10493e+43
0.445,-8.60574e+44,3.16464e+128,1.107e+43
0.455,7.06049e+43,-1.24399e+127,1.1015e+43
0.465,2.92817e+43,-8.23392e+127,1.13618e+43
0.475,1.71808e+43,-1.00618e+128,1.13965e+43
0.485,3.2899e+42,-2.19345e+128,2.22086e+43
0.495,6.3618e+42,-3.27509e+128,2.52004e+43
0.505,7.42308e+44,-2.55338e+128,1.28039e+43
0.515,-5.77069e+43,-1.41774e+127,1.26982e+43
0.525,-8.06205e+44,2.16373e+128,1.27772e+43
0.535,-1.08619e+43,2.15364e+127,1.66718e+43
0.545,3.10046e+42,-3.82612e+127,3.9817e+42
0.555,2.22675e+42,-1.82287e+127,3.4768e+42
0.565,1.33961e+42,-6.55748e+126,1.86423e+42
0.575,1.74957e+42,-1.95778e+126,4.45917e+41
0.585,3.08946e+42,2.19147e+126,-9.13608e+41
0.595,2.14694e+42,4.94418e+126,-9.09557e+41
0.605,1.74995e+42,9.90769e+126,-4.07243e+41
0.615,1.61245e+42,1.4293e+127,1.02207e+42
0.625,2.02385e+41,-2.31378e+127,-2.16735e+43
0.635,1.35716e+42,2.10993e+127,4.36129e+42
0.645,2.39938e+42,1.42537e+127,4.24879e+42
0.655,-1.83013e+42,-1.18369e+127,9.08522e+42
