x,rho,p,u
0.005,1.68908e+42,-5.16877e+128,3.40736e+43
0.015,5.62263e+43,-8.3659e+126,1.70501e+43
0.025,-1.01239e+44,7.09439e+128,1.81122e+43
0.035,6.56332e+43,3.12255e+126,1.72664e+43
0.045,5.97556e+44,-1.70693e+128,1.75038e+43
0.055,-2.43881e+43,-3.77729e+127,1.79634e+43
0.065,-7.47051e+43,1.00463e+128,1.85153e+43
0.075,2.83717e+43,-2.95674e+128,2.03679e+43
0.085,-1.39504e+41,9.29069e+128,1.97265e+44
0.095,1.11117e+43,1.43522e+128,4.29483e+42
0.105,2.05864e+41,-4.67678e+129,3.4571e+44
0.115,2.16166e+43,-8.20389e+127,1.37956e+42
0.125,3.87893e+42,1.54397e+128,1.3058e+43
0.135,-2.48711e+43,2.86458e+128,-7.99048e+41
0.145,5.0422e+42,-4.3078e+125,1.37201e+42
0.155,-1.68856e+41,-5.05571e+123,1.82662e+42
0.165,-6.47728e+40,4.35903e+126,2.11153e+43
0.175,5.20154e+41,4.89692e+125,2.08222e+42
0.185,-1.73091e+43,8.81825e+125,9.98126e+41
0.195,1.82352e+43,1.14051e+125,1.13075e+42
0.205,6.82422e+43,-4.14038e+126,1.27112e+42
0.215,1.79965e+48,-8.59618e+136,1.80011e+44
0.225,-4.86309e+45,-1.92916e+133,1.54299e+44
0.235,-1.79966e+48,8.59625e+136,1.80008e+44
0.245,-3.47403e+43,2.40974e+128,-1.9699e+42
0.255,-2.24613e+42,-1.20466e+127,3.33571e+42
0.265,-5.01705e+41,6.8405e+129,2.66208e+44
0.275,2.60037e+43,-3.50821e+127,1.59135e+42
0.285,1.85627e+43,-1.42817e+128,9.25623e+42
0.295,1.33792e+45,-3.88647e+129,1.23884e+43
0.305,-3.47866e+43,-1.64891e+128,1.19096e+43
0.315,-1.33988e+45,3.90099e+129,1.23706e+43
0.325,4.5199e+42,-1.61756e+129,5.45311e+43
0.335,-8.51838e+42,1.44e+127,7.1181e+41
0.345,9.45375e+42,-1.00563e+127,6.80204e+42
0.355,3.49448e+44,-2.17711e+127,6.60656e+42
0.365,-1.48979e+43,-1.78786e+126,6.55996e+42
0.375,7.30286e+43,-8.5083e+129,3.30941e+43
0.385,-1.87426e+43,-1.21661e+127,1.1036e+43
0.395,-3.61109e+44,3.19866e+127,1.11054e+43
0.405,-8.33401e+43,6.07532e+126,1.1237e+43
0.415,-4.77462e+43,5.99701e+126,1.12599e+43
0.425,1.83701e+45,-5.85269e+128,1.10658e+43
0.435,-6.53026e+43,-1.30705e+127,1.10493e+43
0.445,-1.72332e+45,6.21138e+128,1.10687e+43
0.455,7.06049e+43,-1.24399e+127,1.1015e+43
0.465,2.92817e+43,-8.23392e+127,1.13618e+43
0.475,1.71808e+43,-1.00618e+128,1.13965e+43
0.485,3.2899e+42,-2.19345e+128,2.22086e+43
0.495,6.3618e+42,-3.27509e+128,2.52004e+43
0.505,1.61848e+45,-5.16942e+128,1.27572e+43
0.515,-5.77069e+43,-1.41774e+127,1.26982e+43
0.525,-1.68238e+45,4.78279e+128,1.27462e+43
0.535,-1.08619e+43,2.15364e+127,1.66718e+43
0.545,3.10046e+42,-3.82612e+127,3.9817e+42
0.555,2.22675e+42,-1.82287e+127,3.4768e+42
0.565,1.33961e+42,-6.55748e+126,1.86423e+42
0.575,1.05655e+42,-1.00496e+126,1.09833e+42
0.585,1.50781e+43,-6.14583e+125,-1.30496e+42
0.595,3.63157e+42,4.12857e+126,-1.14206e+42
0.605,6.35937e+41,1.35658e+126,-5.64634e+41
0.615,-2.20857e+44,1.60651e+125,9.29965e+42
0.625,2.95254e+42,-1.61725e+127,8.03114e+42
0.635,-5.41634e+42,-7.72795e+126,7.08351e+42
0.645,-7.94389e+42,2.71889e+127,8.96445e+42
0.655,4.51719e+42,7.79631e+126,6.75867e+42
0.665,9.37444e+41,-5.69512e+126,8.1235e+42
0.675,-2.13205e+42,1.33401e+127,9.63927e+42
0.685,1.90855e+42,1.22698e+127,2.41414e+42
0.695,-1.83225e+43,2.80341e+126,7.53573e+42
0.705,7.0921e+42,1.98699e+126,7.39684e+42
0.715,3.57804e+43,-4.05469e+126,7.13261e+42
0.725,1.11641e+43,-1.00058e+127,6.11048e+42
0.735,-2.93689e+43,-4.59406e+126,6.53475e+42
0.745,-1.69455e+43,1.73537e+127,7.102e+42
0.755,1.21205e+43,-6.23615e+126,4.29785e+42
0.765,3.81278e+42,7.40252e+126,6.45383e+42
0.775,3.58661e+41,-2.47223e+128,-4.85932e+43
0.785,-4.48355e+41,2.40595e+126,1.77412e+43
0.795,-6.5141e+41,5.48398e+126,1.99976e+43
0.805,-4.7383e+41,1.73417e+126,1.71735e+43
0.815,-1.05525e+41,2.47086e+127,4.81947e+43
0.825,-6.73406e+41,1.23621e+126,1.65785e+43
0.835,-5.4532e+42,3.25941e+126,1.76443e+43
0.845,1.52333e+43,4.78398e+125,1.72811e+43
0.855,-4.49121e+43,-6.49451e+126,1.71409e+43
0.865,4.86259e+43,2.30036e+126,1.71454e+43
0.875,3.01231e+44,-3.43113e+127,1.71607e+43
0.885,-5.08273e+44,-4.8922e+126,1.71509e+43
0.895,-6.67959e+44,2.24263e+127,1.71511e+43
0.905,1.65022e+45,-4.87859e+127,1.71498e+43
0.915,3.10798e+44,1.58123e+127,1.71491e+43
0.925,-1.19887e+45,5.4149e+127,1.71531e+43
0.935,9.58794e+42,-2.69839e+128,6.30276e+42
0.945,5.79787e+42,2.65455e+126,1.85773e+43
0.955,3.48322e+43,-3.59771e+127,2.017e+43
0.965,1.23628e+43,3.38254e+126,1.71254e+43
0.975,1.66737e+43,-8.09864e+124,1.7176e+43
0.985,-1.64406e+42,6.27002e+125,1.71926e+43
0.995,0.125,0.1,0
1.5,0.125,0.1,0
