x,rho,p,u
0.005,2.11418e+45,-6.97585e+130,1.93052e+43
0.015,8.68682e+44,-3.65657e+131,1.44964e+43
0.025,1.66428e+45,-4.56426e+131,2.27783e+43
0.035,-1.2958e+46,1.10934e+133,2.71298e+44
0.045,2.90304e+45,1.86795e+130,2.53921e+44
0.055,1.36547e+46,-1.3389e+132,2.54848e+44
0.065,2.23936e+46,-5.30062e+134,2.26872e+44
0.075,-1.37013e+45,-1.11382e+133,1.90328e+44
0.085,-2.33945e+46,4.24058e+134,2.43502e+44
0.095,3.02571e+45,-1.07699e+134,2.79282e+44
0.105,1.03036e+47,-1.26793e+136,9.26815e+44
0.115,-2.18827e+45,-3.52955e+134,6.82802e+44
0.125,-1.02509e+47,1.27409e+136,9.24667e+44
0.135,7.98124e+49,-5.85339e+140,9.72893e+45
0.145,-1.24933e+47,-1.98028e+137,9.56272e+45
0.155,-7.97664e+49,5.85704e+140,9.73251e+45
0.165,-1.90445e+46,5.77416e+135,3.83242e+45
0.175,-3.02334e+46,6.58569e+135,3.74072e+45
0.185,6.87131e+48,-8.01155e+137,4.43733e+45
0.195,-2.27839e+46,-1.84717e+135,4.42398e+45
0.205,-6.82883e+48,8.09492e+137,4.44237e+45
0.215,2.79682e+48,-4.58117e+142,-1.62518e+46
0.225,-4.86309e+45,-1.92916e+133,1.54299e+44
0.235,-2.49747e+48,1.19292e+137,1.80008e+44
0.245,-2.77727e+43,3.33042e+128,-3.70434e+42
0.255,-2.24613e+42,-1.20466e+127,3.33571e+42
0.265,-7.4693e+42,4.42619e+128,2.24924e+43
0.275,2.60037e+43,-3.50821e+127,1.59135e+42
0.285,1.85627e+43,-1.42817e+128,9.25623e+42
0.295,1.7232e+45,-4.93623e+129,1.23703e+43
0.305,-3.47866e+43,-1.64891e+128,1.19096e+43
0.315,-1.72515e+45,4.9509e+129,1.23565e+43
0.325,4.5199e+42,-1.61756e+129,5.45311e+43
0.335,-8.51838e+42,1.44e+127,7.1181e+41
0.345,9.45375e+42,-1.00563e+127,6.80204e+42
0.355,4.40332e+44,-2.51294e+127,6.60072e+42
0.365,-1.48979e+43,-1.78786e+126,6.55996e+42
0.375,1.745e+44,-6.48017e+129,2.26539e+43
0.385,-1.87426e+43,-1.21661e+127,1.1036e+43
0.395,-5.53464e+44,4.20212e+127,1.11018e+43
0.405,-8.33401e+43,6.07532e+126,1.1237e+43
0.415,-4.77462e+43,5.99701e+126,1.12599e+43
0.425,2.50802e+45,-8.2223e+128,1.10662e+43
0.435,-6.53026e+43,-1.30705e+127,1.10493e+43
0.445,-2.39432e+45,8.58099e+128,1.10683e+43
0.455,7.06049e+43,-1.24399e+127,1.1015e+43
0.465,2.92817e+43,-8.23392e+127,1.13618e+43
0.475,1.71808e+43,-1.00618e+128,1.13965e+43
0.485,3.2899e+42,-2.19345e+128,2.22086e+43
0.495,6.3618e+42,-3.27509e+128,2.52004e+43
0.505,2.29993e+45,-7.20722e+128,1.27455e+43
0.515,-5.77069e+43,-1.41774e+127,1.26982e+43
0.525,-2.36382e+45,6.8213e+128,1.27379e+43
0.535,-1.08619e+43,2.15364e+127,1.66718e+43
0.545,3.10046e+42,-3.82612e+127,3.9817e+42
0.555,8.31721e+41,-2.88333e+127,-1.71595e+42
0.565,6.73502e+42,-1.01877e+127,7.09754e+42
0.575,-1.86641e+43,-6.23879e+128,3.39295e+42
0.585,4.15168e+43,3.43341e+128,1.99615e+42
0.595,-2.93469e+44,2.57856e+128,9.83084e+42
0.605,1.15368e+44,3.20926e+127,9.09362e+42
0.615,-3.78037e+45,4.5861e+128,9.31354e+42
0.625,-9.43646e+43,4.084e+127,1.01069e+43
0.635,-3.43946e+42,-7.60159e+126,6.82033e+42
0.645,-4.22004e+43,-1.14957e+125,7.54261e+42
0.655,-2.22889e+43,-2.12537e+125,7.36951e+42
0.665,-2.12761e+42,1.68564e+126,7.66602e+42
0.675,2.22805e+43,-1.91946e+127,7.32869e+42
0.685,-9.71418e+42,-3.43236e+127,5.61243e+42
0.695,2.74699e+42,1.56879e+127,1.28637e+42
0.705,-1.30441e+44,5.30938e+127,7.4131e+42
0.715,1.36959e+43,5.73981e+125,7.25105e+42
0.725,3.40167e+44,-3.067e+127,6.84151e+42
0.735,-2.93689e+43,-4.59406e+126,6.53475e+42
