x1,x2,y1,y2
0.545763,-0.130269,-1.9241,-1.18722
0.613027,-0.113519,-1.90373,-1.21662
0.678229,-0.0962984,-1.88149,-1.24895
0.740967,-0.0783682,-1.85768,-1.28436
0.800856,-0.0594873,-1.83266,-1.32294
0.857545,-0.0394212,-1.80683,-1.36473
0.910718,-0.0179511,-1.78062,-1.40971
0.960105,0.00511803,-1.75448,-1.45783
1.00548,0.0299524,-1.72887,-1.50901
1.04668,0.0566861,-1.70425,-1.56313
1.08356,0.0854203,-1.68104,-1.62004
1.11603,0.116225,-1.65966,-1.67958
1.14402,0.149142,-1.64049,-1.74159
1.16749,0.18419,-1.62388,-1.80589
1.18639,0.221368,-1.61012,-1.8723
1.20067,0.260665,-1.59949,-1.94065
1.21028,0.30206,-1.59224,-2.01074
1.2151,0.345532,-1.58856,-2.08237
1.21499,0.391063,-1.58865,-2.15534
1.20972,0.438646,-1.59266,-2.2294
1.19898,0.488285,-1.60076,-2.30426
1.18232,0.540005,-1.61311,-2.37955
1.1591,0.593849,-1.62987,-2.45479
1.12845,0.649883,-1.65124,-2.52929
1.08913,0.708188,-1.67744,-2.60204
1.03936,0.768821,-1.70872,-2.67143
0.976603,0.831706,-1.74535,-2.7348
0.897444,0.896261,-1.78734,-2.78734
0.798497,0.960312,-1.83369,-2.82051
0.681772,1.01796,-1.88021,-2.822
0.562016,1.061,-1.91941,-2.78602
0.454172,1.08718,-1.94775,-2.72189
0.36226,1.09967,-1.96692,-2.64237
0.284728,1.10217,-1.97963,-2.55564
0.219025,1.09736,-1.98797,-2.46602
0.162993,1.08698,-1.99335,-2.37576
0.115,1.0722,-1.99669,-2.28612
0.0738361,1.05379,-1.99864,-2.19785
0.0385874,1.03232,-1.99963,-2.11145
0.00855307,1.00818,-1.99998,-2.02724
-0.016817,0.981698,-1.99993,-1.94546
-0.037963,0.953106,-1.99964,-1.86629
-0.0552439,0.922596,-1.99924,-1.78988
-0.0689574,0.890323,-1.99881,-1.71636
-0.0793543,0.856416,-1.99843,-1.64581
-0.0866494,0.820981,-1.99812,-1.57835
-0.0910291,0.78411,-1.99793,-1.51406
-0.0926581,0.745884,-1.99785,-1.45302
-0.0916841,0.706373,-1.9979,-1.39532
-0.0882418,0.665641,-1.99805,-1.34104
-0.0824567,0.623746,-1.9983,-1.29029
-0.0744482,0.580744,-1.99861,-1.24315
-0.0643329,0.536691,-1.99897,-1.19973
-0.0522283,0.491643,-1.99932,-1.16015
-0.0382566,0.445658,-1.99963,-1.12452
-0.0225491,0.398801,-1.99987,-1.09297
-0.00525224,0.351147,-1.99999,-1.06566
0.0134674,0.302783,-1.99995,-1.04272
0.0334163,0.253811,-1.99972,-1.02431
0.0543698,0.204353,-1.99926,-1.01057
0.0760689,0.154549,-1.99855,-1.00164
0.0982222,0.104558,-1.99759,-0.997607
0.120513,0.0545535,-1.99637,-0.998544
0.14261,0.00471248,-1.99491,-1.00446
0.164183,-0.0447898,-1.99325,-1.01533
